pitcher,player_name,game_date,pitch_type,release_speed,release_spin_rate,pfx_x,pfx_z,plate_x,plate_z,zone,description,events,type,launch_speed,launch_angle,estimated_ba_using_speedangle,estimated_woba_using_speedangle,p_throws,stand,balls,strikes,bb_type,release_extension,spin_axis,season
615698,"Quantrill, Cal",2024-09-27,FF,92.7,2303.0,-0.98,1.11,-1.2724963132487317,2.61656759692113,11.0,ball,walk,B,,,,0.689131,R,R,3,1,,6.7,222.0,2024
615698,"Quantrill, Cal",2024-09-27,FF,93.4,2253.0,-0.94,1.05,-0.7977658504765417,2.3181126009322592,4.0,foul,,S,,,,,R,R,3,0,,6.8,221.0,2024
615698,"Quantrill, Cal",2024-09-27,SI,93.5,2045.0,-0.9,0.86,-0.6007017316839433,1.358586174030603,13.0,ball,,B,,,,,R,R,2,0,,6.6,228.0,2024
615698,"Quantrill, Cal",2024-09-27,FC,88.5,2286.0,0.16,0.71,0.4504494192393341,0.2618211064225559,14.0,ball,,B,,,,,R,R,1,0,,6.7,207.0,2024
615698,"Quantrill, Cal",2024-09-27,FF,94.1,2217.0,-0.53,1.29,-0.9164627168400388,3.4981323849586063,11.0,ball,,B,,,,,R,R,0,0,,6.8,217.0,2024
615698,"Quantrill, Cal",2024-09-27,FF,93.3,2123.0,-0.7,1.01,-0.349204356325394,2.4524030716898912,4.0,hit_into_play,field_out,X,81.2,-6.0,0.134,0.148,R,R,1,2,ground_ball,6.7,214.0,2024
615698,"Quantrill, Cal",2024-09-27,CH,84.1,1599.0,-0.85,0.78,-2.528106710195368,3.102784665468216,11.0,ball,,B,,,,,R,R,0,2,,6.7,236.0,2024
615698,"Quantrill, Cal",2024-09-27,FS,86.4,1096.0,-0.73,0.47,-0.84747333335697,2.2078379849545877,13.0,foul,,S,59.3,-33.0,,,R,R,0,1,,6.7,231.0,2024
615698,"Quantrill, Cal",2024-09-27,FC,89.0,2276.0,0.32,0.48,0.0358812532112421,2.127590207552265,8.0,foul,,S,66.7,-32.0,,,R,R,0,0,,6.5,195.0,2024
615698,"Quantrill, Cal",2024-09-27,CU,78.8,2346.0,-0.04,-0.45,-0.3994917700930073,1.9215541938698733,7.0,hit_into_play,home_run,X,103.7,31.0,0.7176666666666668,2.0,R,R,0,1,fly_ball,6.6,46.0,2024
615698,"Quantrill, Cal",2024-09-27,FF,93.5,2185.0,-0.83,1.16,0.3842721710939835,3.119835905033577,3.0,called_strike,,S,,,,,R,R,0,0,,6.6,216.0,2024
615698,"Quantrill, Cal",2024-09-27,FC,87.2,2145.0,0.29,0.29,0.0805174809258425,1.3092571906682782,14.0,hit_into_play,field_out,X,86.5,-20.0,0.066,0.056,R,R,1,1,ground_ball,6.7,202.0,2024
615698,"Quantrill, Cal",2024-09-27,CH,84.3,1620.0,-1.09,0.66,-1.277447172977403,1.2281513173300702,13.0,ball,,B,,,,,R,R,0,1,,6.6,233.0,2024
615698,"Quantrill, Cal",2024-09-27,FF,94.4,2239.0,-0.39,1.28,-0.0886524736089506,2.710985855518483,5.0,foul,,S,78.4,19.0,,,R,R,0,0,,6.8,212.0,2024
615698,"Quantrill, Cal",2024-09-27,FF,93.0,2047.0,-0.44,1.09,0.0712373491233168,1.8505665061952588,8.0,hit_into_play,grounded_into_double_play,X,93.7,-3.0,0.313,0.325,R,L,2,1,ground_ball,6.8,215.0,2024
615698,"Quantrill, Cal",2024-09-27,CH,84.1,1427.0,-0.59,0.59,-1.5503405339201062,4.108221018103052,11.0,ball,,B,,,,,R,L,1,1,,6.6,225.0,2024
615698,"Quantrill, Cal",2024-09-27,FS,83.6,814.0,-0.53,0.13,-1.492407050460141,3.950871543095632,11.0,ball,,B,,,,,R,L,0,1,,6.8,250.0,2024
615698,"Quantrill, Cal",2024-09-27,CU,80.9,2495.0,0.02,-0.45,-0.2457477363430027,1.9378007600209424,8.0,foul,,S,68.2,-25.0,,,R,L,0,0,,6.4,62.0,2024
615698,"Quantrill, Cal",2024-09-27,SI,94.0,2289.0,-0.74,1.18,-0.69403461156599,2.433756430331486,4.0,hit_into_play,single,X,103.4,2.0,0.545,0.524,R,R,1,1,ground_ball,6.7,214.0,2024
615698,"Quantrill, Cal",2024-09-27,FC,86.7,2311.0,0.33,0.15,0.98540953259209,0.9229135085699868,14.0,ball,,B,,,,,R,R,0,1,,6.6,156.0,2024
615698,"Quantrill, Cal",2024-09-27,FF,94.1,2277.0,-0.67,1.19,0.157990875959527,2.257573580417287,5.0,called_strike,,S,,,,,R,R,0,0,,6.7,213.0,2024
615698,"Quantrill, Cal",2024-09-27,SI,93.9,2210.0,-1.07,0.89,0.4100809964658085,1.538304112198035,9.0,hit_into_play,field_out,X,102.2,-7.0,0.324,0.336,R,L,3,1,ground_ball,6.7,218.0,2024
615698,"Quantrill, Cal",2024-09-27,CH,85.2,1522.0,-0.77,0.64,-0.5067928870185502,1.3504742888987615,13.0,ball,,B,,,,,R,L,2,1,,6.7,237.0,2024
615698,"Quantrill, Cal",2024-09-27,CH,84.0,1423.0,-0.45,0.83,-0.7366539817982329,3.517048010666979,11.0,ball,,B,,,,,R,L,1,1,,6.7,225.0,2024
615698,"Quantrill, Cal",2024-09-27,SI,92.9,2191.0,-0.98,0.9,0.4485291724578718,1.9077376164018127,9.0,called_strike,,S,,,,,R,L,1,0,,6.8,214.0,2024
615698,"Quantrill, Cal",2024-09-27,FF,94.3,2142.0,-0.57,0.91,1.7243510258998422,2.2117833070596324,14.0,ball,,B,,,,,R,L,0,0,,6.7,215.0,2024
615698,"Quantrill, Cal",2024-09-27,FC,85.6,2407.0,0.31,-0.1,0.4768477934952118,3.096658799326684,3.0,hit_into_play,field_out,X,96.8,-6.0,0.268,0.265,R,R,3,2,ground_ball,6.8,134.0,2024
