batter,player_name,game_date,pitch_type,plate_x,plate_z,zone,description,events,type,hc_x,hc_y,hit_distance_sc,launch_speed,launch_angle,bb_type,estimated_ba_using_speedangle,estimated_woba_using_speedangle,p_throws,stand,balls,strikes,season
672012,"Black, Tyler",2024-08-21,FC,-0.63,3.43,1.0,called_strike,strikeout,S,,,,,,,,0.0,R,L,2,2,2024
672012,"Black, Tyler",2024-08-21,FF,-1.31,3.99,11.0,ball,,B,,,,,,,,,R,L,1,2,2024
672012,"Black, Tyler",2024-08-21,ST,0.24,1.37,14.0,foul,,S,,,5.0,69.9,-19.0,,,,R,L,1,2,2024
672012,"Black, Tyler",2024-08-21,FC,0.07,3.54,2.0,called_strike,,S,,,,,,,,,R,L,1,1,2024
672012,"Black, Tyler",2024-08-21,FC,-0.98,3.19,11.0,ball,,B,,,,,,,,,R,L,0,1,2024
672012,"Black, Tyler",2024-08-21,SI,0.22,1.76,8.0,called_strike,,S,,,,,,,,,R,L,0,0,2024
672012,"Black, Tyler",2024-08-21,SI,0.44,2.58,6.0,hit_into_play,single,X,64.4,115.45,209.0,75.8,19.0,line_drive,0.987,0.918,R,L,1,2,2024
672012,"Black, Tyler",2024-08-21,FF,-0.2,2.48,5.0,foul,,S,,,216.0,74.5,43.0,,,,R,L,1,1,2024
672012,"Black, Tyler",2024-08-21,CH,-0.04,1.04,13.0,ball,,B,,,,,,,,,R,L,0,1,2024
672012,"Black, Tyler",2024-08-21,FF,-0.39,1.97,7.0,called_strike,,S,,,,,,,,,R,L,0,0,2024
672012,"Black, Tyler",2024-08-21,SL,-0.02,3.4,2.0,swinging_strike,strikeout_double_play,S,,,,,,,,0.0,R,L,2,2,2024
672012,"Black, Tyler",2024-08-21,FF,-1.94,2.7,13.0,ball,,B,,,,,,,,,R,L,1,2,2024
672012,"Black, Tyler",2024-08-21,FF,0.09,2.84,5.0,foul,,S,,,34.0,76.8,-2.0,,,,R,L,1,1,2024
672012,"Black, Tyler",2024-08-21,FF,0.58,3.52,3.0,swinging_strike,,S,,,,,,,,,R,L,1,0,2024
672012,"Black, Tyler",2024-08-21,FF,-2.19,3.7,11.0,ball,,B,,,,,,,,,R,L,0,0,2024
672012,"Black, Tyler",2024-08-20,FC,-0.72,1.83,7.0,ball,walk,B,,,,,,,,0.689131,R,L,3,2,2024
672012,"Black, Tyler",2024-08-20,SI,0.65,3.99,12.0,ball,,B,,,,,,,,,R,L,2,2,2024
672012,"Black, Tyler",2024-08-20,ST,1.06,2.26,14.0,foul,,S,,,352.0,101.4,41.0,,,,R,L,2,1,2024
672012,"Black, Tyler",2024-08-20,FC,-1.41,4.08,11.0,ball,,B,,,,,,,,,R,L,1,1,2024
672012,"Black, Tyler",2024-08-20,CH,0.31,1.12,14.0,ball,,B,,,,,,,,,R,L,0,1,2024
672012,"Black, Tyler",2024-08-20,FC,-0.31,2.78,4.0,called_strike,,S,,,,,,,,,R,L,0,0,2024
672012,"Black, Tyler",2024-08-20,ST,0.5,1.67,9.0,hit_into_play,field_out,X,90.43,97.39,269.0,94.6,46.0,fly_ball,0.008,0.011,R,L,0,1,2024
672012,"Black, Tyler",2024-08-20,FC,-0.36,3.07,4.0,called_strike,,S,,,,,,,,,R,L,0,0,2024
672012,"Black, Tyler",2024-08-20,SI,-0.96,3.41,11.0,ball,walk,B,,,,,,,,0.689131,R,L,3,1,2024
672012,"Black, Tyler",2024-08-20,FC,0.03,2.27,8.0,called_strike,,S,,,,,,,,,R,L,3,0,2024
672012,"Black, Tyler",2024-08-20,FC,-0.19,3.88,11.0,ball,,B,,,,,,,,,R,L,2,0,2024
672012,"Black, Tyler",2024-08-20,SI,-1.19,2.45,13.0,ball,,B,,,,,,,,,R,L,1,0,2024
672012,"Black, Tyler",2024-08-20,FC,-1.15,3.22,11.0,ball,,B,,,,,,,,,R,L,0,0,2024
672012,"Black, Tyler",2024-08-16,CU,-0.32,1.99,7.0,hit_into_play,field_out,X,88.51,100.73,263.0,81.7,42.0,fly_ball,0.005,0.006,R,L,0,0,2024
672012,"Black, Tyler",2024-08-16,FF,0.02,2.63,5.0,hit_into_play,single,X,95.36,101.56,217.0,77.6,17.0,line_drive,0.963,0.898,R,L,2,2,2024
672012,"Black, Tyler",2024-08-16,FF,-1.17,4.1,11.0,ball,,B,,,,,,,,,R,L,1,2,2024
672012,"Black, Tyler",2024-08-16,CU,-0.72,1.14,13.0,foul,,S,,,1.0,76.5,-39.0,,,,R,L,1,2,2024
672012,"Black, Tyler",2024-08-16,FC,1.35,0.7,14.0,ball,,B,,,,,,,,,R,L,0,2,2024
