batter,player_name,game_date,pitch_type,plate_x,plate_z,zone,description,events,type,hc_x,hc_y,hit_distance_sc,launch_speed,launch_angle,bb_type,estimated_ba_using_speedangle,estimated_woba_using_speedangle,p_throws,stand,balls,strikes,season
595751,"Alfaro, Jorge",2024-03-23,,,,,swinging_strike,strikeout,S,,,,,,,,,R,R,0,2,2024
595751,"Alfaro, Jorge",2024-03-23,,,,,foul,,S,,,,,,,,,R,R,0,1,2024
595751,"Alfaro, Jorge",2024-03-23,,,,,swinging_strike,,S,,,,,,,,,R,R,0,0,2024
595751,"Alfaro, Jorge",2024-03-22,SL,,,,hit_into_play,field_out,X,110.09,147.68,,,,ground_ball,,,R,R,2,2,2024
595751,"Alfaro, Jorge",2024-03-22,SI,,,,ball,,B,,,,,,,,,R,R,1,2,2024
595751,"Alfaro, Jorge",2024-03-22,SL,,,,swinging_strike,,S,,,,,,,,,R,R,1,1,2024
595751,"Alfaro, Jorge",2024-03-22,SI,,,,foul,,S,,,,,,,,,R,R,1,0,2024
595751,"Alfaro, Jorge",2024-03-22,FF,,,,ball,,B,,,,,,,,,R,R,0,0,2024
595751,"Alfaro, Jorge",2024-03-22,FC,,,,hit_into_play,double,X,46.02,105.01,,,,line_drive,,,R,R,0,0,2024
672569,"Campero, Gustavo",2024-09-29,FF,-0.47,3.88,11.0,hit_into_play,field_out,X,109.83,162.93,7.0,83.3,-27.0,ground_ball,0.034,0.086,R,L,1,2,2024
672569,"Campero, Gustavo",2024-09-29,FS,-0.41,2.74,1.0,foul,,S,,,220.0,82.2,57.0,,,,R,L,1,2,2024
672569,"Campero, Gustavo",2024-09-29,CU,1.29,-0.13,14.0,blocked_ball,,B,,,,,,,,,R,L,0,2,2024
672569,"Campero, Gustavo",2024-09-29,FC,-0.05,3.5,11.0,foul,,S,,,121.0,77.8,9.0,,,,R,L,0,1,2024
672569,"Campero, Gustavo",2024-09-29,FS,-0.16,1.48,8.0,foul,,S,,,,,,,,,R,L,0,0,2024
672569,"Campero, Gustavo",2024-09-29,FS,0.44,1.64,9.0,hit_into_play,field_out,X,161.92,162.33,3.0,65.0,-27.0,ground_ball,0.066,0.067,R,L,0,0,2024
672569,"Campero, Gustavo",2024-09-29,FC,0.18,2.45,5.0,hit_into_play,field_out,X,162.0,164.72,11.0,91.4,-12.0,ground_ball,0.132,0.167,R,L,0,1,2024
672569,"Campero, Gustavo",2024-09-29,CU,-0.8,2.7,1.0,called_strike,,S,,,,,,,,,R,L,0,0,2024
672569,"Campero, Gustavo",2024-09-29,FC,0.06,1.79,8.0,hit_into_play,field_error,X,148.6,153.85,4.0,94.8,-23.0,ground_ball,0.121,0.146,R,L,1,1,2024
672569,"Campero, Gustavo",2024-09-29,KC,-1.03,0.9,13.0,ball,,B,,,,,,,,,R,L,0,1,2024
672569,"Campero, Gustavo",2024-09-29,FC,-0.15,2.14,5.0,called_strike,,S,,,,,,,,,R,L,0,0,2024
672569,"Campero, Gustavo",2024-09-28,SL,-0.48,2.12,4.0,hit_into_play,home_run,X,19.5,98.96,359.0,99.4,28.0,fly_ball,0.4278620689655172,0.8101379310344828,L,R,3,2,2024
672569,"Campero, Gustavo",2024-09-28,SL,0.6,1.8,9.0,foul,,S,,,1.0,81.7,-48.0,,,,L,R,3,2,2024
672569,"Campero, Gustavo",2024-09-28,FF,-0.71,3.69,11.0,ball,,B,,,,,,,,,L,R,2,2,2024
672569,"Campero, Gustavo",2024-09-28,SL,-0.79,1.44,7.0,swinging_strike,,S,,,,,,,,,L,R,2,1,2024
672569,"Campero, Gustavo",2024-09-28,CH,-1.06,1.04,13.0,ball,,B,,,,,,,,,L,R,1,1,2024
672569,"Campero, Gustavo",2024-09-28,CH,0.14,1.83,8.0,swinging_strike,,S,,,,,,,,,L,R,1,0,2024
672569,"Campero, Gustavo",2024-09-28,CU,-0.18,1.47,13.0,ball,,B,,,,,,,,,L,R,0,0,2024
672569,"Campero, Gustavo",2024-09-28,FF,-0.32,1.88,7.0,hit_into_play,field_out,X,168.29,153.93,158.0,91.6,9.0,line_drive,0.587,0.542,L,R,0,0,2024
672569,"Campero, Gustavo",2024-09-28,FF,-1.11,3.26,11.0,swinging_strike,strikeout,S,,,,,,,,0.0,R,L,0,2,2024
672569,"Campero, Gustavo",2024-09-28,FF,0.35,2.51,6.0,hit_into_play,field_out,X,162.45,164.71,8.0,94.0,-18.0,ground_ball,0.124,0.161,R,L,1,1,2024
672569,"Campero, Gustavo",2024-09-28,CU,-0.5,3.2,11.0,called_strike,,S,,,,,,,,,R,L,0,1,2024
672569,"Campero, Gustavo",2024-09-28,SL,-1.67,4.06,11.0,ball,,B,,,,,,,,,R,L,0,1,2024
672569,"Campero, Gustavo",2024-09-28,FF,-0.7,1.97,7.0,called_strike,,S,,,,,,,,,R,L,0,0,2024
672569,"Campero, Gustavo",2024-09-28,SL,0.26,3.19,2.0,foul,,S,,,146.0,56.7,35.0,,,,R,L,0,0,2024
672569,"Campero, Gustavo",2024-09-27,CH,-0.79,0.74,13.0,hit_into_play,field_out,X,125.24,157.2,2.0,73.0,-24.0,ground_ball,0.026,0.084,R,L,0,2,2024
672569,"Campero, Gustavo",2024-09-27,FF,-0.28,2.91,1.0,swinging_strike,,S,,,,,,,,,R,L,0,1,2024
672569,"Campero, Gustavo",2024-09-27,CH,-0.59,1.8,7.0,called_strike,,S,,,,,,,,,R,L,0,0,2024
672569,"Campero, Gustavo",2024-09-27,FF,0.49,2.74,3.0,hit_into_play,field_out,X,147.55,149.6,35.0,91.9,-2.0,ground_ball,0.339,0.347,R,L,2,2,2024
672569,"Campero, Gustavo",2024-09-27,FF,-0.09,1.79,8.0,foul,,S,,,203.0,70.7,52.0,,,,R,L,2,2,2024
672569,"Campero, Gustavo",2024-09-27,FS,0.7,0.38,14.0,ball,,B,,,,,,,,,R,L,1,2,2024
672569,"Campero, Gustavo",2024-09-27,FF,-0.24,3.09,2.0,foul,,S,,,206.0,72.8,57.0,,,,R,L,1,2,2024
672569,"Campero, Gustavo",2024-09-27,FF,-0.07,2.59,2.0,foul,,S,,,193.0,70.1,56.0,,,,R,L,1,2,2024
672569,"Campero, Gustavo",2024-09-27,SL,0.87,2.35,12.0,hit_into_play,field_out,X,117.28,182.89,1.0,71.9,-65.0,ground_ball,0.295,0.316,L,R,3,2,2024
672569,"Campero, Gustavo",2024-09-27,FS,-1.76,1.64,13.0,ball,,B,,,,,,,,,R,L,0,2,2024
672569,"Campero, Gustavo",2024-09-27,FF,-0.47,3.68,11.0,foul,,S,,,195.0,70.4,38.0,,,,L,R,3,2,2024
672569,"Campero, Gustavo",2024-09-27,FF,0.48,2.37,6.0,foul,,S,,,171.0,61.4,28.0,,,,R,L,0,2,2024
672569,"Campero, Gustavo",2024-09-27,SL,-0.62,0.31,13.0,ball,,B,,,,,,,,,L,R,2,2,2024
672569,"Campero, Gustavo",2024-09-27,FF,-0.37,2.98,1.0,swinging_strike,,S,,,,,,,,,R,L,0,1,2024
672569,"Campero, Gustavo",2024-09-27,FF,-0.44,2.0,7.0,called_strike,,S,,,,,,,,,R,L,0,0,2024
672569,"Campero, Gustavo",2024-09-27,SL,-0.23,0.47,13.0,swinging_strike,,S,,,,,,,,,L,R,2,1,2024
672569,"Campero, Gustavo",2024-09-27,SI,1.09,2.27,12.0,foul,,S,,,208.0,76.0,54.0,,,,L,R,2,0,2024
672569,"Campero, Gustavo",2024-09-27,FC,0.69,2.13,6.0,hit_into_play,single,X,152.7,97.51,223.0,76.2,22.0,line_drive,0.932,0.867,R,L,1,1,2024
672569,"Campero, Gustavo",2024-09-27,ST,-0.23,0.88,13.0,ball,,B,,,,,,,,,R,L,0,1,2024
672569,"Campero, Gustavo",2024-09-27,SI,1.54,2.11,14.0,ball,,B,,,,,,,,,L,R,1,0,2024
672569,"Campero, Gustavo",2024-09-27,SL,-0.71,0.77,13.0,ball,,B,,,,,,,,,L,R,0,0,2024
672569,"Campero, Gustavo",2024-09-27,FC,0.58,2.6,3.0,called_strike,,S,,,,,,,,,R,L,0,0,2024
672569,"Campero, Gustavo",2024-09-26,CH,-0.65,1.77,7.0,swinging_strike,strikeout,S,,,,,,,,0.0,R,L,2,2,2024
672569,"Campero, Gustavo",2024-09-26,FC,0.19,2.32,5.0,foul,,S,,,124.0,49.4,52.0,,,,R,L,2,1,2024
