batter,player_name,game_date,pitch_type,plate_x,plate_z,zone,description,events,type,hc_x,hc_y,hit_distance_sc,launch_speed,launch_angle,bb_type,estimated_ba_using_speedangle,estimated_woba_using_speedangle,p_throws,stand,balls,strikes,season
660162,"Moncada, Yoán",2024-09-18,FF,0.0928230367063347,4.0665744622881705,12.0,swinging_strike,strikeout,S,,,,,,,,0.0,L,R,1,2,2024
660162,"Moncada, Yoán",2024-09-18,FF,-0.2907010428375192,3.0774215704615973,1.0,called_strike,,S,,,,,,,,,L,R,1,1,2024
660162,"Moncada, Yoán",2024-09-18,FF,0.2919505618121542,3.088601995431051,3.0,foul,,S,,,4.0,76.8,-40.0,,,,L,R,1,0,2024
660162,"Moncada, Yoán",2024-09-18,FF,-0.8927795923763397,3.139932546060382,11.0,ball,,B,,,,,,,,,L,R,0,0,2024
660162,"Moncada, Yoán",2024-04-09,ST,0.0114525078591494,1.683315456456214,8.0,hit_into_play,field_out,X,99.44,173.52,5.0,87.5,-20.0,ground_ball,0.076,0.069,L,R,2,2,2024
660162,"Moncada, Yoán",2024-04-09,FC,0.7779888294214713,2.7063862415792737,6.0,called_strike,,S,,,,,,,,,L,R,2,1,2024
660162,"Moncada, Yoán",2024-04-09,FF,-1.265621291423786,2.656034771905584,11.0,ball,,B,,,,,,,,,L,R,1,1,2024
660162,"Moncada, Yoán",2024-04-09,CH,0.0774128390967377,2.094949420030229,8.0,foul,,S,,,263.0,81.9,32.0,,,,L,R,1,0,2024
660162,"Moncada, Yoán",2024-04-09,FF,-1.127298744352786,2.7642912253425767,11.0,ball,,B,,,,,,,,,L,R,0,0,2024
660162,"Moncada, Yoán",2024-04-09,FF,-0.29915354193284,3.301187210177951,1.0,hit_into_play,single,X,184.46,137.48,212.0,74.1,22.0,line_drive,0.976,0.899,L,R,0,1,2024
660162,"Moncada, Yoán",2024-04-09,FF,-0.5217522722861786,3.117110340205502,1.0,foul,,S,,,171.0,70.6,62.0,,,,L,R,0,0,2024
660162,"Moncada, Yoán",2024-04-08,FF,0.7584189829843739,1.802199948981337,9.0,hit_into_play,field_out,X,157.29,167.92,7.0,93.9,-14.0,ground_ball,0.166,0.157,R,L,2,1,2024
660162,"Moncada, Yoán",2024-04-08,FF,0.322039175202579,1.4123704215672492,9.0,called_strike,,S,,,,,,,,,R,L,2,0,2024
