pitcher,player_name,game_date,pitch_type,release_speed,release_spin_rate,pfx_x,pfx_z,plate_x,plate_z,zone,description,events,type,launch_speed,launch_angle,estimated_ba_using_speedangle,estimated_woba_using_speedangle,p_throws,stand,balls,strikes,bb_type,release_extension,spin_axis,season
663941,"Beck, Tristan",2024-09-28,FF,91.6,2036.0,-0.53,1.23,-0.39,3.68,11.0,swinging_strike,strikeout,S,,,,0.0,R,L,2,2,,6.8,203.0,2024
663941,"Beck, Tristan",2024-09-28,CU,80.6,2373.0,0.76,-1.11,0.41,0.36,14.0,blocked_ball,,B,,,,,R,L,1,2,,7.0,54.0,2024
663941,"Beck, Tristan",2024-09-28,CU,76.8,3177.0,0.83,-1.22,0.76,2.63,6.0,called_strike,,S,,,,,R,L,1,1,,6.8,102.0,2024
663941,"Beck, Tristan",2024-09-28,FF,91.1,2037.0,-0.8,1.54,-0.01,2.65,5.0,swinging_strike,,S,,,,,R,L,1,0,,6.8,212.0,2024
663941,"Beck, Tristan",2024-09-28,FF,91.3,1785.0,-1.02,1.13,-2.54,3.46,11.0,ball,,B,,,,,R,L,0,0,,6.9,197.0,2024
663941,"Beck, Tristan",2024-09-28,SL,86.0,2376.0,0.59,0.27,0.5,2.61,6.0,hit_into_play,double,X,97.0,22.0,0.255,0.327,R,R,0,1,line_drive,6.9,113.0,2024
663941,"Beck, Tristan",2024-09-28,FF,93.5,2212.0,-0.48,1.52,-0.03,2.36,5.0,called_strike,,S,,,,,R,R,0,0,,6.7,212.0,2024
663941,"Beck, Tristan",2024-09-28,ST,81.3,2474.0,1.09,0.0,-0.66,2.34,4.0,hit_into_play,field_out,X,89.5,34.0,0.021,0.025,R,R,2,2,fly_ball,6.8,55.0,2024
663941,"Beck, Tristan",2024-09-28,FF,92.4,2018.0,-0.48,1.32,-0.12,3.4,2.0,foul,,S,79.9,40.0,,,R,R,2,2,,6.7,210.0,2024
663941,"Beck, Tristan",2024-09-28,CU,80.4,2547.0,0.64,-1.51,1.07,0.5,14.0,ball,,B,,,,,R,R,1,2,,6.9,24.0,2024
663941,"Beck, Tristan",2024-09-28,ST,81.3,2617.0,1.38,0.22,1.11,2.16,14.0,foul,,S,67.2,75.0,,,R,R,1,1,,6.9,40.0,2024
663941,"Beck, Tristan",2024-09-28,FF,92.0,2074.0,-0.63,1.36,0.3,2.65,6.0,called_strike,,S,,,,,R,R,1,0,,6.8,209.0,2024
663941,"Beck, Tristan",2024-09-28,FF,92.3,2092.0,-0.43,1.52,-1.64,3.78,11.0,ball,,B,,,,,R,R,0,0,,6.7,199.0,2024
663941,"Beck, Tristan",2024-09-28,ST,82.0,2607.0,1.37,0.09,-0.5,2.87,4.0,hit_into_play,field_out,X,81.1,30.0,0.068,0.068,R,R,0,1,fly_ball,6.6,53.0,2024
663941,"Beck, Tristan",2024-09-28,FF,90.2,1940.0,-0.5,1.41,-0.19,4.35,11.0,swinging_strike,,S,,,,,R,R,0,0,,6.9,207.0,2024
663941,"Beck, Tristan",2024-09-28,SL,83.3,2356.0,0.7,-0.05,-0.34,2.97,1.0,hit_into_play,field_out,X,86.2,73.0,0.005,0.006,R,L,3,1,popup,6.8,82.0,2024
663941,"Beck, Tristan",2024-09-28,FF,91.8,2157.0,-0.79,1.39,-0.28,2.53,4.0,foul,,S,79.5,68.0,,,R,L,3,0,,6.9,215.0,2024
663941,"Beck, Tristan",2024-09-28,SL,83.4,2355.0,0.53,0.16,-1.28,4.27,11.0,ball,,B,,,,,R,L,2,0,,7.0,111.0,2024
663941,"Beck, Tristan",2024-09-28,CU,79.7,,0.77,-1.09,-0.2,0.69,13.0,blocked_ball,,B,,,,,R,L,1,0,,6.9,,2024
663941,"Beck, Tristan",2024-09-28,FF,91.6,1945.0,-0.77,0.95,-1.58,2.13,13.0,ball,,B,,,,,R,L,0,0,,6.8,223.0,2024
663941,"Beck, Tristan",2024-09-28,CU,80.4,2106.0,0.83,-1.07,-0.23,1.77,8.0,hit_into_play,field_out,X,96.4,-21.0,0.153,0.135,R,L,1,2,ground_ball,7.0,54.0,2024
663941,"Beck, Tristan",2024-09-28,FF,93.1,,-0.64,1.38,-1.08,3.35,11.0,ball,,B,,,,,R,L,0,2,,6.7,,2024
663941,"Beck, Tristan",2024-09-28,SL,85.7,2355.0,0.71,0.09,0.43,3.32,3.0,called_strike,,S,,,,,R,L,0,1,,6.7,121.0,2024
663941,"Beck, Tristan",2024-09-28,FF,92.6,2042.0,-0.67,1.37,-0.47,3.24,1.0,foul,,S,86.3,43.0,,,R,L,0,0,,6.8,200.0,2024
663941,"Beck, Tristan",2024-09-28,SL,86.3,2251.0,0.54,0.11,-0.09,2.75,5.0,hit_into_play,double,X,106.0,23.0,0.7646724137931035,1.4394310344827588,R,R,2,2,fly_ball,6.8,63.0,2024
663941,"Beck, Tristan",2024-09-28,ST,81.7,2591.0,1.67,-0.05,1.26,3.31,12.0,foul_tip,,S,,,,,R,R,2,1,,6.7,40.0,2024
663941,"Beck, Tristan",2024-09-28,FF,92.3,2027.0,-0.49,1.33,0.12,2.81,5.0,foul,,S,86.1,58.0,,,R,R,2,0,,6.8,221.0,2024
663941,"Beck, Tristan",2024-09-28,ST,79.8,2472.0,1.32,-0.34,1.05,1.61,14.0,ball,,B,,,,,R,R,1,0,,7.0,63.0,2024
663941,"Beck, Tristan",2024-09-28,FF,92.6,,-0.55,1.49,0.86,2.38,14.0,ball,,B,,,,,R,R,0,0,,6.9,,2024
663941,"Beck, Tristan",2024-09-28,CU,77.4,2307.0,0.62,-1.18,-0.64,2.03,7.0,hit_into_play,field_out,X,99.7,4.0,0.516,0.479,R,L,0,0,ground_ball,6.9,33.0,2024
663941,"Beck, Tristan",2024-09-28,ST,80.0,2565.0,1.27,-0.1,-0.36,3.23,1.0,hit_into_play,field_out,X,77.1,47.0,0.089,0.098,R,R,0,2,fly_ball,6.9,56.0,2024
663941,"Beck, Tristan",2024-09-28,FF,92.6,2204.0,-0.46,1.55,-0.12,3.73,11.0,foul,,S,72.8,39.0,,,R,R,0,2,,6.8,204.0,2024
663941,"Beck, Tristan",2024-09-28,ST,80.0,2668.0,1.55,0.29,0.46,2.03,9.0,foul,,S,66.2,73.0,,,R,R,0,1,,6.8,53.0,2024
663941,"Beck, Tristan",2024-09-28,SL,83.7,2448.0,0.83,-0.05,0.18,3.27,2.0,called_strike,,S,,,,,R,R,0,0,,7.0,95.0,2024
663941,"Beck, Tristan",2024-09-28,FF,89.3,1940.0,-0.59,1.25,-2.18,2.41,13.0,ball,walk,B,,,,0.689131,R,L,3,1,,6.9,215.0,2024
663941,"Beck, Tristan",2024-09-28,FF,92.1,2198.0,-0.61,1.43,0.36,1.65,9.0,called_strike,,S,,,,,R,L,3,0,,6.9,204.0,2024
663941,"Beck, Tristan",2024-09-28,FF,91.2,2073.0,-0.65,1.33,-1.09,3.3,11.0,ball,,B,,,,,R,L,2,0,,6.7,199.0,2024
663941,"Beck, Tristan",2024-09-28,CU,78.6,2320.0,0.94,-1.29,0.75,1.56,9.0,ball,,B,,,,,R,L,1,0,,6.9,51.0,2024
663941,"Beck, Tristan",2024-09-28,FF,93.2,2042.0,-0.88,1.28,-1.37,2.65,11.0,ball,,B,,,,,R,L,0,0,,6.7,214.0,2024
663941,"Beck, Tristan",2024-09-28,ST,81.7,2689.0,1.38,-0.17,0.05,2.14,5.0,hit_into_play,field_out,X,92.8,2.0,0.445,0.369,R,R,2,2,ground_ball,6.9,47.0,2024
663941,"Beck, Tristan",2024-09-28,SL,84.9,2490.0,0.39,0.34,0.38,2.92,3.0,foul,,S,82.0,43.0,,,R,R,2,1,,6.8,108.0,2024
663941,"Beck, Tristan",2024-09-28,FF,89.1,2059.0,-0.74,1.46,0.06,2.44,5.0,called_strike,,S,,,,,R,R,2,0,,6.9,208.0,2024
663941,"Beck, Tristan",2024-09-28,FF,91.3,2102.0,-0.57,1.26,-0.94,2.77,11.0,ball,,B,,,,,R,R,1,0,,6.8,211.0,2024
663941,"Beck, Tristan",2024-09-28,FF,93.4,2215.0,-0.63,1.19,-0.3,1.03,13.0,ball,,B,,,,,R,R,0,0,,6.8,213.0,2024
663941,"Beck, Tristan",2024-09-28,FF,92.2,2646.0,-0.67,1.42,-0.63,2.65,4.0,hit_into_play,field_out,X,91.4,24.0,0.15,0.191,R,R,0,1,line_drive,6.7,140.0,2024
663941,"Beck, Tristan",2024-09-28,SL,83.7,1814.0,0.72,-0.09,-0.52,3.2,1.0,called_strike,,S,,,,,R,R,0,0,,6.6,13.0,2024
663941,"Beck, Tristan",2024-09-28,FF,93.8,2151.0,-0.7,1.6,-0.51,4.71,11.0,swinging_strike,strikeout,S,,,,0.0,R,R,2,2,,6.9,197.0,2024
