pitcher,player_name,game_date,pitch_type,release_speed,release_spin_rate,pfx_x,pfx_z,plate_x,plate_z,zone,description,events,type,launch_speed,launch_angle,estimated_ba_using_speedangle,estimated_woba_using_speedangle,p_throws,stand,balls,strikes,bb_type,release_extension,spin_axis,season
621199,"Bowman, Matt",2024-09-28,FS,85.3,1341.0,-0.85,0.37,-0.1012818510523946,2.0689664382974158,8.0,hit_into_play,field_out,X,101.2,33.0,0.4985483870967742,0.9896129032258064,R,L,1,1,fly_ball,6.6,253.0,2024
621199,"Bowman, Matt",2024-09-28,FC,90.2,2149.0,-0.11,0.86,0.417595854591248,3.4105142253988827,3.0,called_strike,,S,,,,,R,L,1,0,,6.7,217.0,2024
621199,"Bowman, Matt",2024-09-28,FC,89.2,2068.0,0.08,0.69,-0.9723691421235134,3.6948612365503184,11.0,ball,,B,,,,,R,L,0,0,,6.7,213.0,2024
621199,"Bowman, Matt",2024-09-28,SI,90.5,1992.0,-1.49,0.02,-0.6446121003613983,3.3821254245384007,1.0,called_strike,strikeout,S,,,,0.0,R,R,1,2,,6.9,258.0,2024
621199,"Bowman, Matt",2024-09-28,ST,82.7,2667.0,1.13,0.24,-0.9326956110884118,3.2292855921948984,11.0,foul,,S,53.6,52.0,,,R,R,1,1,,6.6,76.0,2024
621199,"Bowman, Matt",2024-09-28,ST,82.9,2561.0,0.94,0.21,1.270785790785435,2.053873322258693,14.0,ball,,B,,,,,R,R,0,1,,6.7,64.0,2024
621199,"Bowman, Matt",2024-09-28,SI,91.6,1998.0,-1.53,0.12,-0.6953548828730276,2.7138667442854527,4.0,called_strike,,S,,,,,R,R,0,0,,6.8,243.0,2024
621199,"Bowman, Matt",2024-09-28,FC,89.6,2179.0,0.04,0.71,-0.1428084934323014,1.8988223917986595,8.0,hit_into_play,single,X,87.9,11.0,0.658,0.596,R,L,1,0,line_drive,6.8,205.0,2024
621199,"Bowman, Matt",2024-09-28,SI,91.8,2052.0,-1.5,0.46,-1.282513847801258,3.460676428323767,11.0,ball,,B,,,,,R,L,0,0,,6.9,240.0,2024
621199,"Bowman, Matt",2024-09-28,ST,83.6,2525.0,0.88,0.49,-0.4763878949345937,3.1983263264203883,1.0,hit_into_play,field_out,X,78.9,45.0,0.045,0.042,R,R,2,1,fly_ball,6.9,79.0,2024
621199,"Bowman, Matt",2024-09-28,SI,92.1,2091.0,-1.53,0.19,1.1080895640773676,0.7556856174441053,14.0,ball,,B,,,,,R,R,1,1,,6.9,244.0,2024
621199,"Bowman, Matt",2024-09-28,SI,92.1,2035.0,-1.4,0.26,-0.8512509310977963,2.742217421413213,11.0,swinging_strike,,S,,,,,R,R,1,0,,6.8,242.0,2024
621199,"Bowman, Matt",2024-09-28,SI,92.8,2100.0,-1.49,0.3,-1.4290288763286274,3.049482311143673,11.0,ball,,B,,,,,R,R,0,0,,6.9,237.0,2024
621199,"Bowman, Matt",2024-09-28,SI,92.8,1994.0,-1.55,0.26,-0.1429858565258688,2.196491408855317,5.0,swinging_strike,strikeout,S,,,,0.0,R,L,3,2,,6.9,245.0,2024
621199,"Bowman, Matt",2024-09-28,SI,92.9,1998.0,-1.38,0.34,0.7195983316328394,3.58719822608318,12.0,ball,,B,,,,,R,L,2,2,,6.8,243.0,2024
621199,"Bowman, Matt",2024-09-28,FC,91.4,2139.0,-0.19,0.95,-0.5958404018655953,3.379730988975407,1.0,foul_tip,,S,,,,,R,L,2,1,,6.8,217.0,2024
621199,"Bowman, Matt",2024-09-28,SI,92.0,1951.0,-1.43,0.24,0.5361801383643952,1.8605804796395304,9.0,called_strike,,S,,,,,R,L,2,0,,6.9,245.0,2024
621199,"Bowman, Matt",2024-09-28,FC,90.9,2208.0,0.05,0.58,1.3436288087551815,1.892062527873047,14.0,ball,,B,,,,,R,L,1,0,,6.8,215.0,2024
621199,"Bowman, Matt",2024-09-28,FC,91.0,2113.0,0.05,0.79,0.8424437417465257,3.593525694840009,12.0,ball,,B,,,,,R,L,0,0,,6.8,210.0,2024
621199,"Bowman, Matt",2024-09-26,ST,84.9,2566.0,0.61,0.6,-0.3333959178049793,2.7426900773165173,1.0,hit_into_play,field_out,X,91.9,48.0,0.003,0.003,R,R,0,0,fly_ball,6.7,75.0,2024
621199,"Bowman, Matt",2024-09-26,ST,85.2,2495.0,0.59,0.56,0.129388904861519,3.099164593431506,2.0,hit_into_play,field_out,X,87.2,56.0,0.018,0.019,R,R,0,2,fly_ball,6.9,87.0,2024
621199,"Bowman, Matt",2024-09-26,SI,92.2,2149.0,-1.58,0.15,0.1209466688445435,3.369372670793808,2.0,foul,,S,86.0,44.0,,,R,R,0,2,,6.8,242.0,2024
621199,"Bowman, Matt",2024-09-26,SI,90.7,1975.0,-1.56,-0.01,-0.2278234921019872,2.423510251234948,5.0,foul,,S,73.9,40.0,,,R,R,0,2,,6.9,250.0,2024
621199,"Bowman, Matt",2024-09-26,FC,90.4,2093.0,-0.09,0.93,0.5828830689242853,3.6520360480505967,12.0,foul,,S,77.1,21.0,,,R,R,0,2,,6.7,218.0,2024
621199,"Bowman, Matt",2024-09-26,ST,85.5,2614.0,0.38,0.65,0.439554319685622,1.938389562555281,9.0,foul,,S,84.4,48.0,,,R,R,0,1,,6.4,94.0,2024
621199,"Bowman, Matt",2024-09-26,SI,92.4,2144.0,-1.44,0.39,0.6503594126997339,2.403268176088602,6.0,called_strike,,S,,,,,R,R,0,0,,6.8,240.0,2024
621199,"Bowman, Matt",2024-09-26,FC,91.2,2117.0,-0.3,1.0,-0.3383717363805815,2.1073661283581178,7.0,hit_into_play,single,X,93.3,-4.0,0.297,0.247,R,L,1,2,ground_ball,6.8,231.0,2024
621199,"Bowman, Matt",2024-09-26,SI,91.8,2066.0,-1.6,0.19,0.4975868530953198,2.5161822103920075,6.0,called_strike,,S,,,,,R,L,1,1,,6.8,245.0,2024
621199,"Bowman, Matt",2024-09-26,FC,91.0,2157.0,-0.31,1.03,-0.8626087257642745,3.176657155618857,11.0,called_strike,,S,,,,,R,L,1,0,,6.6,222.0,2024
621199,"Bowman, Matt",2024-09-26,FC,91.4,2224.0,-0.04,1.01,-1.200062190212238,3.0405520917207456,11.0,ball,,B,,,,,R,L,0,0,,6.6,216.0,2024
621199,"Bowman, Matt",2024-09-26,FS,84.5,1119.0,-0.65,-0.23,0.0458947653583026,2.817970807845917,5.0,hit_into_play,home_run,X,104.0,37.0,0.5215,1.061409090909091,R,L,2,2,fly_ball,6.7,272.0,2024
621199,"Bowman, Matt",2024-09-26,FS,84.7,1215.0,-0.72,-0.54,0.5128494647302876,0.6165428666343291,14.0,ball,,B,,,,,R,L,1,2,,6.7,267.0,2024
621199,"Bowman, Matt",2024-09-26,SI,91.6,2032.0,-1.5,0.29,-0.6289379488396338,3.7751777640175175,11.0,foul,,S,,,,,R,L,1,2,,6.9,246.0,2024
621199,"Bowman, Matt",2024-09-26,FC,91.5,2157.0,-0.41,0.96,-0.1307840295068371,4.0860257857059485,11.0,ball,,B,,,,,R,L,0,2,,6.6,222.0,2024
621199,"Bowman, Matt",2024-09-26,FC,90.9,2143.0,-0.28,0.94,-0.7610605004765703,2.678926555215196,4.0,called_strike,,S,,,,,R,L,0,1,,6.7,223.0,2024
621199,"Bowman, Matt",2024-09-26,SI,92.5,2065.0,-1.64,0.3,-0.4639491839939837,2.58347578733922,4.0,foul,,S,70.6,22.0,,,R,L,0,0,,7.0,241.0,2024
621199,"Bowman, Matt",2024-09-26,FC,90.6,2119.0,-0.1,0.93,-0.1372811423176907,2.1653208838346103,8.0,hit_into_play,field_out,X,82.9,27.0,0.105,0.104,R,L,0,0,line_drive,6.8,220.0,2024
