batter,player_name,game_date,pitch_type,plate_x,plate_z,zone,description,events,type,hc_x,hc_y,hit_distance_sc,launch_speed,launch_angle,bb_type,estimated_ba_using_speedangle,estimated_woba_using_speedangle,p_throws,stand,balls,strikes,season
664056,"Bader, Harrison",2024-10-17,FS,-0.4739305415132082,1.038583210771672,13.0,swinging_strike,strikeout,S,,,,,,,,0.0,R,R,1,2,2024
664056,"Bader, Harrison",2024-10-17,FF,1.029238828551758,2.3584407672501677,12.0,ball,,B,,,,,,,,,R,R,0,2,2024
664056,"Bader, Harrison",2024-10-17,FF,-0.2057075412053303,2.975767049453259,2.0,called_strike,,S,,,,,,,,,R,R,0,1,2024
664056,"Bader, Harrison",2024-10-17,FF,0.5240878126267878,2.7623228116036787,3.0,swinging_strike,,S,,,,,,,,,R,R,0,0,2024
664056,"Bader, Harrison",2024-10-17,SL,0.4551264156747518,2.404662130926023,6.0,swinging_strike,strikeout,S,,,,,,,,0.0,R,R,2,2,2024
664056,"Bader, Harrison",2024-10-17,FS,-0.0698925451889256,0.5375609801293058,13.0,blocked_ball,,B,,,,,,,,,R,R,1,2,2024
664056,"Bader, Harrison",2024-10-17,FF,-0.0927507559593799,2.347395879128053,5.0,called_strike,,S,,,,,,,,,R,R,1,1,2024
664056,"Bader, Harrison",2024-10-17,FF,0.5274549533883404,2.4944515286967928,6.0,called_strike,,S,,,,,,,,,R,R,1,0,2024
664056,"Bader, Harrison",2024-10-17,FC,1.5518966504828553,1.5170370060068756,14.0,ball,,B,,,,,,,,,R,R,0,0,2024
664056,"Bader, Harrison",2024-10-16,FF,-0.2087801173170361,3.4964258000578674,11.0,hit_into_play,field_out,X,75.95,132.4,208.0,89.8,54.0,fly_ball,0.008,0.009,R,R,0,0,2024
664056,"Bader, Harrison",2024-10-08,FF,0.0195251234979676,3.752338533561497,12.0,hit_into_play,field_out,X,129.12,73.87,312.0,88.2,30.0,fly_ball,0.05,0.064,R,R,1,2,2024
664056,"Bader, Harrison",2024-10-08,FF,-0.3713033642236013,4.19396514577265,11.0,foul,,S,,,188.0,67.0,26.0,,,,R,R,1,2,2024
664056,"Bader, Harrison",2024-10-08,SL,0.1077040907145043,3.821162184648548,12.0,foul,,S,,,237.0,77.7,47.0,,,,R,R,1,1,2024
664056,"Bader, Harrison",2024-10-08,FF,0.9277402975636606,2.44283563385206,12.0,ball,,B,,,,,,,,,R,R,0,1,2024
664056,"Bader, Harrison",2024-10-08,SL,0.6581074282452082,3.5778494320208183,12.0,swinging_strike,,S,,,,,,,,,R,R,0,0,2024
664056,"Bader, Harrison",2024-10-06,CH,1.150104503638689,1.4757990790411402,14.0,hit_into_play,field_out,X,95.76,123.87,204.0,63.6,36.0,popup,0.661,0.598,L,R,1,2,2024
664056,"Bader, Harrison",2024-10-06,SI,0.3296583111363194,2.5212243396586125,6.0,foul,,S,,,109.0,81.1,7.0,,,,L,R,1,2,2024
664056,"Bader, Harrison",2024-10-06,CH,0.6666500214280362,1.245228001107919,14.0,foul,,S,,,4.0,58.9,-17.0,,,,L,R,1,2,2024
664056,"Bader, Harrison",2024-10-06,CH,1.1596318060711095,1.3824755354421163,14.0,foul,,S,,,3.0,47.7,-28.0,,,,L,R,1,2,2024
