pitcher,player_name,game_date,pitch_type,release_speed,release_spin_rate,pfx_x,pfx_z,plate_x,plate_z,zone,description,events,type,launch_speed,launch_angle,estimated_ba_using_speedangle,estimated_woba_using_speedangle,p_throws,stand,balls,strikes,bb_type,release_extension,spin_axis,season
691951,"Aldegheri, Sam",2024-09-13,FF,91.6,2380.0,0.6,1.45,-1.57284318556298,2.7435528640161317,11.0,ball,walk,B,,,,0.689131,L,R,3,1,,5.8,146.0,2024
691951,"Aldegheri, Sam",2024-09-13,CH,82.9,1895.0,1.42,0.16,-0.2043484786648322,0.8195981921827618,13.0,blocked_ball,,B,,,,,L,R,2,1,,6.1,99.0,2024
691951,"Aldegheri, Sam",2024-09-13,CU,75.0,2166.0,-0.97,-0.84,2.355509802836029,3.458754859900753,12.0,ball,,B,,,,,L,R,1,1,,5.5,320.0,2024
691951,"Aldegheri, Sam",2024-09-13,FF,91.4,2246.0,0.58,1.36,0.0656001985069235,3.359025128855186,2.0,foul,,S,80.0,46.0,,,L,R,1,0,,5.6,152.0,2024
691951,"Aldegheri, Sam",2024-09-13,CH,82.6,1850.0,1.32,0.57,0.9822987625860828,1.9025674056403463,14.0,ball,,B,,,,,L,R,0,0,,6.1,99.0,2024
691951,"Aldegheri, Sam",2024-09-13,SL,81.0,2278.0,-0.14,-0.34,-0.0409807399884818,1.94164999050278,8.0,hit_into_play,double,X,93.5,-15.0,0.171,0.195,L,R,0,0,ground_ball,5.5,313.0,2024
691951,"Aldegheri, Sam",2024-09-13,FF,90.9,2258.0,0.32,1.68,-0.5391809086465091,2.729322263927324,1.0,hit_into_play,home_run,X,99.6,34.0,0.4025806451612904,0.7980967741935484,L,R,0,0,fly_ball,5.6,152.0,2024
691951,"Aldegheri, Sam",2024-09-13,FF,91.5,2255.0,0.55,1.41,0.1137187445809972,2.993582469136853,2.0,hit_into_play,single,X,107.6,14.0,0.753,0.791,L,L,2,1,line_drive,5.5,145.0,2024
691951,"Aldegheri, Sam",2024-09-13,FF,90.5,2286.0,0.51,1.41,-0.3339423682899942,3.076207485116731,1.0,swinging_strike,,S,,,,,L,L,2,0,,5.5,145.0,2024
691951,"Aldegheri, Sam",2024-09-13,FF,89.4,2180.0,0.56,1.39,-0.4193668338775052,0.9050768383162306,13.0,ball,,B,,,,,L,L,1,0,,5.5,149.0,2024
691951,"Aldegheri, Sam",2024-09-13,CU,71.5,2070.0,-1.0,-0.62,1.7290456638480824,3.2966848242653803,12.0,ball,,B,,,,,L,L,0,0,,5.3,318.0,2024
691951,"Aldegheri, Sam",2024-09-13,CH,83.7,1853.0,1.33,0.68,0.0188645350484055,2.684495719900708,2.0,hit_into_play,field_out,X,104.7,8.0,0.695,0.639,L,R,0,1,line_drive,6.2,103.0,2024
691951,"Aldegheri, Sam",2024-09-13,CH,81.9,1868.0,1.25,0.63,1.092278308783705,3.337354854515124,12.0,swinging_strike,,S,,,,,L,R,0,0,,6.2,99.0,2024
691951,"Aldegheri, Sam",2024-09-13,SL,83.1,2475.0,-0.27,-0.23,-0.617878878297998,1.9015679744334348,7.0,hit_into_play,sac_fly,X,84.7,30.0,0.032,0.034,L,L,0,0,fly_ball,5.5,314.0,2024
691951,"Aldegheri, Sam",2024-09-13,FF,91.4,2408.0,0.8,1.45,-1.2307625734765502,1.1839207112900454,13.0,ball,walk,B,,,,0.689131,L,R,3,0,,5.8,150.0,2024
691951,"Aldegheri, Sam",2024-09-13,FF,91.5,2332.0,0.63,1.46,0.2752163860920132,0.9659544139116468,14.0,ball,,B,,,,,L,R,2,0,,5.8,150.0,2024
691951,"Aldegheri, Sam",2024-09-13,FF,92.7,2336.0,0.44,1.22,-0.1632971306337302,0.7140370247373489,13.0,ball,,B,,,,,L,R,1,0,,5.7,150.0,2024
691951,"Aldegheri, Sam",2024-09-13,FF,91.1,2349.0,0.22,1.5,-1.4831406986108395,1.377873279409637,13.0,ball,,B,,,,,L,R,0,0,,5.7,150.0,2024
691951,"Aldegheri, Sam",2024-09-13,CH,82.8,1984.0,1.31,0.56,-0.5707961119823588,0.9004027676825279,13.0,ball,walk,B,,,,0.689131,L,R,3,2,,6.2,107.0,2024
691951,"Aldegheri, Sam",2024-09-13,FF,90.9,2313.0,0.28,1.52,-0.4088730613807204,2.176837243642727,4.0,foul,,S,106.6,19.0,,,L,R,3,1,,5.6,153.0,2024
691951,"Aldegheri, Sam",2024-09-13,FF,90.6,2296.0,0.4,1.38,0.1892622958887087,2.007322672936568,8.0,called_strike,,S,,,,,L,R,3,0,,5.5,151.0,2024
691951,"Aldegheri, Sam",2024-09-13,FF,90.2,2338.0,0.47,1.28,-1.0438421192261715,1.725649535857937,13.0,ball,,B,,,,,L,R,2,0,,5.6,153.0,2024
691951,"Aldegheri, Sam",2024-09-13,FF,91.5,2350.0,0.36,1.55,-1.0417847745023603,1.7716461828489725,13.0,ball,,B,,,,,L,R,1,0,,5.8,150.0,2024
691951,"Aldegheri, Sam",2024-09-13,FF,90.4,2228.0,0.51,1.34,1.2363968166482835,2.055921128830154,14.0,ball,,B,,,,,L,R,0,0,,5.7,145.0,2024
691951,"Aldegheri, Sam",2024-09-13,SL,80.5,2386.0,-0.35,-0.32,-0.8937089788424611,2.087751491112399,13.0,hit_into_play,single,X,73.4,31.0,0.539,0.519,L,R,0,0,fly_ball,5.6,305.0,2024
691951,"Aldegheri, Sam",2024-09-13,CH,82.4,1723.0,1.18,0.98,0.6684679755674634,2.519953989035133,6.0,hit_into_play,single,X,92.5,11.0,0.816,0.757,L,R,1,2,line_drive,6.2,96.0,2024
691951,"Aldegheri, Sam",2024-09-13,CU,73.8,2018.0,-1.03,-0.73,0.0857948572186266,1.6903750179788464,8.0,called_strike,,S,,,,,L,R,1,1,,5.7,323.0,2024
691951,"Aldegheri, Sam",2024-09-13,FF,91.3,2290.0,0.7,1.34,-0.3274566467596733,1.3340344197547398,13.0,ball,,B,,,,,L,R,0,1,,5.7,149.0,2024
691951,"Aldegheri, Sam",2024-09-13,FF,90.7,2252.0,0.42,1.55,0.2870476192828368,2.8349742284442967,3.0,foul,,S,78.2,62.0,,,L,R,0,0,,5.5,147.0,2024
691951,"Aldegheri, Sam",2024-09-13,FF,90.3,2262.0,0.57,1.32,-0.4093914251722065,2.209227057270137,7.0,hit_into_play,field_out,X,100.7,-4.0,0.355,0.379,L,R,1,1,ground_ball,5.5,147.0,2024
691951,"Aldegheri, Sam",2024-09-13,CH,80.1,1624.0,1.25,0.67,2.302970417337857,2.7090291070106653,12.0,ball,,B,,,,,L,R,0,1,,5.9,100.0,2024
691951,"Aldegheri, Sam",2024-09-13,FF,88.6,2137.0,0.56,1.26,-0.2658351742154496,2.836354431137529,5.0,foul,,S,108.1,11.0,,,L,R,0,0,,5.6,143.0,2024
691951,"Aldegheri, Sam",2024-09-13,FF,93.4,2387.0,0.49,1.36,-0.5987522661764444,3.1995051836262025,1.0,hit_into_play,field_out,X,82.7,60.0,0.026,0.025,L,R,1,2,fly_ball,5.6,148.0,2024
691951,"Aldegheri, Sam",2024-09-13,CH,83.7,1871.0,1.31,0.66,0.5757317112455098,3.153982524404516,3.0,foul,,S,71.9,32.0,,,L,R,1,2,,6.0,94.0,2024
691951,"Aldegheri, Sam",2024-09-13,CH,83.6,1958.0,1.38,0.81,-0.1462470013961037,2.1270215435666184,5.0,called_strike,,S,,,,,L,R,1,1,,6.1,102.0,2024
691951,"Aldegheri, Sam",2024-09-13,FF,92.0,2380.0,0.22,1.3,-1.9481581650743407,2.7727822587282303,11.0,ball,,B,,,,,L,R,0,1,,5.7,152.0,2024
691951,"Aldegheri, Sam",2024-09-13,CU,76.3,2158.0,-1.0,-1.09,-0.0138505480996253,1.97846245013368,8.0,called_strike,,S,,,,,L,R,0,0,,5.6,323.0,2024
691951,"Aldegheri, Sam",2024-09-13,FF,93.0,2299.0,0.62,1.35,-1.2042611605022535,1.607481668777338,13.0,ball,walk,B,,,,0.689131,L,L,3,2,,5.7,154.0,2024
691951,"Aldegheri, Sam",2024-09-13,FF,92.7,2329.0,0.66,1.31,-0.7109697281851005,1.8001009317898686,7.0,called_strike,,S,,,,,L,L,3,1,,5.8,148.0,2024
691951,"Aldegheri, Sam",2024-09-13,FF,91.6,2287.0,0.71,1.38,-0.1225956473015489,2.4092146126669305,5.0,called_strike,,S,,,,,L,L,3,0,,5.8,149.0,2024
691951,"Aldegheri, Sam",2024-09-13,FF,92.3,2338.0,0.7,1.41,-1.5219763809139315,1.1929232476534173,13.0,ball,,B,,,,,L,L,2,0,,5.9,149.0,2024
691951,"Aldegheri, Sam",2024-09-13,FF,93.3,2367.0,0.5,1.38,-1.081219244301741,2.413199930783674,13.0,ball,,B,,,,,L,L,1,0,,5.9,150.0,2024
691951,"Aldegheri, Sam",2024-09-13,SL,83.9,2389.0,-0.35,-0.18,-1.6514790834231317,1.313434402954678,13.0,ball,,B,,,,,L,L,0,0,,5.7,305.0,2024
691951,"Aldegheri, Sam",2024-09-13,CH,80.8,1702.0,1.52,0.28,1.8078644858202728,3.184727755524643,12.0,ball,walk,B,,,,0.689131,L,R,3,2,,6.0,96.0,2024
691951,"Aldegheri, Sam",2024-09-13,FF,92.8,2343.0,0.51,1.31,-0.7296118639834014,1.2124555305459035,13.0,ball,,B,,,,,L,R,2,2,,5.7,148.0,2024
