batter,player_name,game_date,pitch_type,plate_x,plate_z,zone,description,events,type,hc_x,hc_y,hit_distance_sc,launch_speed,launch_angle,bb_type,estimated_ba_using_speedangle,estimated_woba_using_speedangle,p_throws,stand,balls,strikes,season
686527,"Canzone, Dominic",2024-08-26,FF,-0.9276053643644178,2.315100620411226,13.0,ball,walk,B,,,,,,,,0.689131,R,L,3,1,2024
686527,"Canzone, Dominic",2024-08-26,FF,-0.0494713698228051,1.5922079669202676,8.0,called_strike,,S,,,,,,,,,R,L,3,0,2024
686527,"Canzone, Dominic",2024-08-26,SL,2.1987100706984606,1.6244072157985905,14.0,ball,,B,,,,,,,,,R,L,2,0,2024
686527,"Canzone, Dominic",2024-08-26,FF,0.3304229153424083,1.3644375048809456,14.0,ball,,B,,,,,,,,,R,L,1,0,2024
686527,"Canzone, Dominic",2024-08-26,CH,-0.479265480620573,1.4644689281616825,7.0,ball,,B,,,,,,,,,R,L,0,0,2024
686527,"Canzone, Dominic",2024-08-26,CH,-0.5023696400398003,1.3738853217453286,13.0,hit_into_play,field_out,X,148.49,148.98,20.0,70.9,-2.0,ground_ball,0.095,0.081,R,L,0,1,2024
686527,"Canzone, Dominic",2024-08-26,CH,-0.6364262311857107,1.2271588881236024,13.0,foul,,S,,,1.0,63.0,-50.0,,,,R,L,0,0,2024
686527,"Canzone, Dominic",2024-08-26,CH,-0.5038293329644549,1.8682906896208,7.0,swinging_strike,strikeout,S,,,,,,,,0.0,R,L,2,2,2024
686527,"Canzone, Dominic",2024-08-26,CH,-0.379389057521123,0.5496048441463381,13.0,blocked_ball,,B,,,,,,,,,R,L,1,2,2024
686527,"Canzone, Dominic",2024-08-26,FC,0.6446281345735095,3.833888630626549,12.0,foul,,S,,,251.0,75.6,40.0,,,,R,L,1,1,2024
686527,"Canzone, Dominic",2024-08-26,CH,0.747290133476476,1.651206212268879,9.0,called_strike,,S,,,,,,,,,R,L,1,0,2024
686527,"Canzone, Dominic",2024-08-26,SL,2.154413390972744,0.1044147948194107,14.0,blocked_ball,,B,,,,,,,,,R,L,0,0,2024
686527,"Canzone, Dominic",2024-08-23,FF,-0.4822479223873968,2.523919722962846,4.0,hit_into_play,field_out,X,62.96,101.35,288.0,93.7,48.0,fly_ball,0.003,0.002,R,L,2,2,2024
686527,"Canzone, Dominic",2024-08-23,CH,1.054437338609111,0.8633634254646041,14.0,ball,,B,,,,,,,,,R,L,1,2,2024
686527,"Canzone, Dominic",2024-08-23,CH,0.2477967575156939,1.2489821729515818,14.0,swinging_strike,,S,,,,,,,,,R,L,1,1,2024
686527,"Canzone, Dominic",2024-08-23,SL,-0.2310405027734685,1.5129622790969477,8.0,swinging_strike,,S,,,,,,,,,R,L,1,0,2024
686527,"Canzone, Dominic",2024-08-23,FF,-1.6251540246800558,3.664909100804633,11.0,ball,,B,,,,,,,,,R,L,0,0,2024
686527,"Canzone, Dominic",2024-08-23,CH,0.0426728034953668,1.5917167149429725,8.0,swinging_strike,strikeout,S,,,,,,,,0.0,R,L,0,2,2024
686527,"Canzone, Dominic",2024-08-23,CH,0.1768772708269057,0.4471753641442224,14.0,swinging_strike,,S,,,,,,,,,R,L,0,1,2024
686527,"Canzone, Dominic",2024-08-23,CU,0.0227438857012253,2.8143404450979395,2.0,called_strike,,S,,,,,,,,,R,L,0,0,2024
686527,"Canzone, Dominic",2024-08-21,SL,-1.1194934114347057,3.1685867727991712,11.0,hit_into_play,fielders_choice,X,149.63,154.15,5.0,74.4,-29.0,ground_ball,0.045,0.045,R,L,1,1,2024
686527,"Canzone, Dominic",2024-08-21,SL,-0.6069590008314789,1.2303073254777224,13.0,swinging_strike,,S,,,,,,,,,R,L,1,0,2024
686527,"Canzone, Dominic",2024-08-21,KC,0.4478345017496017,1.1985768181764147,14.0,ball,,B,,,,,,,,,R,L,0,0,2024
686527,"Canzone, Dominic",2024-08-21,FF,-0.1216143978059889,1.6320119590728557,8.0,hit_into_play,field_out,X,140.22,52.36,363.0,106.5,39.0,fly_ball,0.5438333333333333,1.1036666666666666,R,L,0,0,2024
686527,"Canzone, Dominic",2024-08-21,SL,-0.1325999845795798,2.367077530952069,5.0,hit_into_play,sac_fly,X,106.61,62.69,341.0,94.9,21.0,line_drive,0.218,0.246,R,L,0,0,2024
686527,"Canzone, Dominic",2024-08-21,SI,-0.6099027985072274,2.5401619356444383,4.0,hit_into_play,force_out,X,117.53,148.7,7.0,88.6,-18.0,ground_ball,0.084,0.07,R,L,1,1,2024
686527,"Canzone, Dominic",2024-08-21,ST,1.3708432092086114,1.1706969725556098,14.0,ball,,B,,,,,,,,,R,L,0,1,2024
686527,"Canzone, Dominic",2024-08-21,ST,1.4297270821322652,1.1429682243879982,14.0,swinging_strike,,S,,,,,,,,,R,L,0,0,2024
686527,"Canzone, Dominic",2024-08-20,FF,-0.6293875429345743,2.425487434321826,4.0,hit_into_play,field_out,X,149.03,143.83,154.0,103.5,9.0,line_drive,0.753,0.725,R,L,2,2,2024
686527,"Canzone, Dominic",2024-08-20,SI,-0.9642518125238242,2.252587699614428,13.0,foul,,S,,,1.0,78.3,-55.0,,,,R,L,2,1,2024
686527,"Canzone, Dominic",2024-08-20,SL,1.272571336799021,-1.4408721344409168,14.0,ball,,B,,,,,,,,,R,L,1,1,2024
686527,"Canzone, Dominic",2024-08-20,FF,-0.5473494914652521,2.638354104905237,4.0,foul,,S,,,220.0,74.2,49.0,,,,R,L,1,0,2024
686527,"Canzone, Dominic",2024-08-20,FF,-1.434006797788141,4.054105235075892,11.0,ball,,B,,,,,,,,,R,L,0,0,2024
686527,"Canzone, Dominic",2024-08-19,SI,0.2982817558786896,2.298549809182444,9.0,called_strike,strikeout,S,,,,,,,,0.0,R,L,3,2,2024
686527,"Canzone, Dominic",2024-08-19,SI,-0.0001053956128851,2.202672628576843,5.0,foul,,S,,,227.0,78.9,50.0,,,,R,L,3,1,2024
686527,"Canzone, Dominic",2024-08-19,FF,0.7522650141897406,3.8548864331167936,12.0,ball,,B,,,,,,,,,R,L,2,1,2024
