pitcher,player_name,game_date,pitch_type,release_speed,release_spin_rate,pfx_x,pfx_z,plate_x,plate_z,zone,description,events,type,launch_speed,launch_angle,estimated_ba_using_speedangle,estimated_woba_using_speedangle,p_throws,stand,balls,strikes,bb_type,release_extension,spin_axis,season
641540,"Dunning, Dane",2024-09-28,SL,80.2,2393.0,0.27,-0.1,1.9934298385080609,2.1461414055262336,14.0,swinging_strike,strikeout,S,,,,0.0,R,R,1,2,,6.9,48.0,2024
641540,"Dunning, Dane",2024-09-28,SI,88.7,2075.0,-1.23,0.33,0.4614266068923407,3.016124527761481,3.0,foul,,S,90.0,28.0,,,R,R,1,2,,7.1,217.0,2024
641540,"Dunning, Dane",2024-09-28,SL,79.7,2348.0,0.37,0.1,2.13072424708576,0.0004359150934267,14.0,ball,,B,,,,,R,R,0,2,,7.0,48.0,2024
641540,"Dunning, Dane",2024-09-28,SI,89.9,2070.0,-1.25,0.55,-1.3093554184760194,2.942331385906147,11.0,swinging_strike,,S,,,,,R,R,0,1,,6.9,210.0,2024
641540,"Dunning, Dane",2024-09-28,SI,89.2,2056.0,-1.12,0.55,1.012846035827489,3.151832234974822,12.0,called_strike,,S,,,,,R,R,0,0,,6.9,212.0,2024
641540,"Dunning, Dane",2024-09-28,SL,79.7,2304.0,0.25,-0.31,0.0637804039469976,1.0004011818958878,14.0,hit_into_play,field_out,X,93.4,-27.0,0.089,0.075,R,R,0,2,ground_ball,6.8,53.0,2024
641540,"Dunning, Dane",2024-09-28,SL,80.8,2391.0,0.27,-0.09,1.077071798526436,1.3243044750745456,14.0,foul,,S,79.4,-62.0,,,R,R,0,2,,6.7,69.0,2024
641540,"Dunning, Dane",2024-09-28,SL,79.3,2372.0,0.36,-0.25,-0.2782795905616717,2.6554412703762624,4.0,foul,,S,93.0,4.0,,,R,R,0,1,,6.8,62.0,2024
641540,"Dunning, Dane",2024-09-28,SI,89.3,2154.0,-1.28,0.57,-0.3585114730116547,3.344556048603405,1.0,called_strike,,S,,,,,R,R,0,0,,6.9,214.0,2024
641540,"Dunning, Dane",2024-09-28,SI,89.4,2126.0,-1.13,1.06,-0.3741170636635114,2.737789744092111,4.0,hit_into_play,field_out,X,85.3,61.0,0.024,0.026,R,R,2,2,popup,6.9,217.0,2024
641540,"Dunning, Dane",2024-09-28,SL,79.8,2391.0,0.23,-0.13,1.454793966738596,1.6765239158919951,14.0,ball,,B,,,,,R,R,1,2,,6.8,50.0,2024
641540,"Dunning, Dane",2024-09-28,SL,79.7,2289.0,0.3,-0.35,-0.5757005118173167,1.8915861399634792,7.0,foul,,S,68.4,-23.0,,,R,R,1,2,,6.8,47.0,2024
641540,"Dunning, Dane",2024-09-28,SI,89.5,2020.0,-1.11,0.36,0.1230291586648983,2.897181131832002,5.0,called_strike,,S,,,,,R,R,1,1,,7.0,217.0,2024
641540,"Dunning, Dane",2024-09-28,FC,88.7,2236.0,0.11,0.71,0.6325391294733704,1.4867483851244796,14.0,ball,,B,,,,,R,R,0,1,,6.9,214.0,2024
641540,"Dunning, Dane",2024-09-28,SI,89.0,2071.0,-1.34,0.81,0.2698882814275711,1.472633948751814,14.0,foul,,S,73.5,-56.0,,,R,R,0,0,,7.0,212.0,2024
641540,"Dunning, Dane",2024-09-21,FC,86.2,2247.0,0.06,0.94,0.8782982147071404,2.5772753309181957,12.0,hit_into_play,single,X,104.8,-8.0,0.329,0.349,R,R,2,2,ground_ball,7.2,202.0,2024
641540,"Dunning, Dane",2024-09-21,SL,76.7,2262.0,0.54,-0.08,0.5128278726055646,1.5060616643317737,9.0,foul,,S,44.3,-47.0,,,R,R,2,2,,7.1,56.0,2024
641540,"Dunning, Dane",2024-09-21,CH,83.2,1900.0,-1.6,0.57,-1.3331792168370753,2.458429301638064,11.0,ball,,B,,,,,R,R,1,2,,7.1,240.0,2024
641540,"Dunning, Dane",2024-09-21,KC,76.4,2286.0,0.82,-1.49,1.943118499155464,-1.3727050890136314,14.0,ball,,B,,,,,R,R,0,2,,7.2,34.0,2024
641540,"Dunning, Dane",2024-09-21,SI,88.3,2134.0,-1.38,0.64,-0.4651285277029249,1.7532723370586671,7.0,foul,,S,77.8,-40.0,,,R,R,0,2,,7.1,222.0,2024
641540,"Dunning, Dane",2024-09-21,FF,85.6,2120.0,-0.59,0.77,-0.0998939433519494,2.314774587577589,5.0,foul,,S,,,,,R,R,0,2,,7.2,219.0,2024
641540,"Dunning, Dane",2024-09-21,KC,75.8,2371.0,1.08,-1.36,1.7326548177347232,0.6653066983995801,14.0,swinging_strike,,S,,,,,R,R,0,1,,7.2,36.0,2024
641540,"Dunning, Dane",2024-09-21,SI,86.9,2068.0,-1.12,0.52,-0.6195502278847926,3.0215002851013266,1.0,called_strike,,S,,,,,R,R,0,0,,7.3,215.0,2024
641540,"Dunning, Dane",2024-09-21,SI,87.0,2016.0,-1.31,0.44,0.3503512698972999,2.057018995041424,9.0,called_strike,strikeout,S,,,,0.0,R,L,2,2,,7.3,217.0,2024
641540,"Dunning, Dane",2024-09-21,KC,73.9,2339.0,1.0,-1.27,-0.3036329873958195,1.9355099034568968,7.0,called_strike,,S,,,,,R,L,2,1,,6.8,32.0,2024
641540,"Dunning, Dane",2024-09-21,SI,88.4,2167.0,-1.21,0.56,-0.8151775898782445,2.875825150864508,4.0,ball,,B,,,,,R,L,1,1,,6.9,212.0,2024
