batter,player_name,game_date,pitch_type,plate_x,plate_z,zone,description,events,type,hc_x,hc_y,hit_distance_sc,launch_speed,launch_angle,bb_type,estimated_ba_using_speedangle,estimated_woba_using_speedangle,p_throws,stand,balls,strikes,season
663330,"Jones, Jahmai",2024-07-23,CU,0.48,1.77,9.0,swinging_strike,strikeout,S,,,,,,,,0.0,L,R,2,2,2024
663330,"Jones, Jahmai",2024-07-23,CH,-0.08,0.97,13.0,ball,,B,,,,,,,,,L,R,1,2,2024
663330,"Jones, Jahmai",2024-07-23,CH,2.23,2.46,14.0,ball,,B,,,,,,,,,L,R,0,2,2024
663330,"Jones, Jahmai",2024-07-23,FF,-0.41,3.33,1.0,foul,,S,,,,,,,,,L,R,0,1,2024
663330,"Jones, Jahmai",2024-07-23,CH,0.76,0.61,14.0,swinging_strike,,S,,,,,,,,,L,R,0,0,2024
663330,"Jones, Jahmai",2024-07-23,CU,-0.41,1.09,13.0,swinging_strike,strikeout,S,,,,,,,,0.0,L,R,1,2,2024
663330,"Jones, Jahmai",2024-07-23,CH,2.13,1.47,14.0,ball,,B,,,,,,,,,L,R,0,2,2024
663330,"Jones, Jahmai",2024-07-23,CH,0.31,1.11,14.0,swinging_strike,,S,,,,,,,,,L,R,0,1,2024
663330,"Jones, Jahmai",2024-07-23,CU,0.06,1.59,8.0,foul,,S,,,2.0,54.5,-36.0,,,,L,R,0,0,2024
663330,"Jones, Jahmai",2024-07-23,CU,1.1,1.88,14.0,hit_into_play,field_out,X,105.3,159.41,63.0,32.0,35.0,ground_ball,0.2,0.208,L,R,1,1,2024
663330,"Jones, Jahmai",2024-07-23,FF,-0.87,2.47,13.0,called_strike,,S,,,,,,,,,L,R,1,0,2024
663330,"Jones, Jahmai",2024-07-23,FF,-1.45,2.62,11.0,ball,,B,,,,,,,,,L,R,0,0,2024
663330,"Jones, Jahmai",2024-07-20,ST,1.1,2.48,14.0,hit_into_play,field_out,X,106.98,156.6,6.0,70.6,-21.0,ground_ball,0.029,0.072,R,R,1,1,2024
663330,"Jones, Jahmai",2024-07-20,SI,-0.02,2.01,8.0,foul,,S,,,42.0,28.0,58.0,,,,R,R,1,0,2024
663330,"Jones, Jahmai",2024-07-20,ST,2.04,2.56,14.0,ball,,B,,,,,,,,,R,R,0,0,2024
663330,"Jones, Jahmai",2024-07-12,FF,-0.72,3.47,1.0,called_strike,strikeout,S,,,,,,,,0.0,L,R,2,2,2024
663330,"Jones, Jahmai",2024-07-12,FF,-1.17,1.93,13.0,ball,,B,,,,,,,,,L,R,1,2,2024
663330,"Jones, Jahmai",2024-07-12,CU,1.11,2.93,12.0,ball,,B,,,,,,,,,L,R,0,2,2024
663330,"Jones, Jahmai",2024-07-12,CU,-0.17,1.97,8.0,foul,,S,,,6.0,67.3,-19.0,,,,L,R,0,1,2024
663330,"Jones, Jahmai",2024-07-12,FF,0.83,2.06,14.0,called_strike,,S,,,,,,,,,L,R,0,0,2024
663330,"Jones, Jahmai",2024-07-12,FC,0.2,2.44,5.0,hit_into_play,single,X,119.71,102.88,63.0,97.0,2.0,ground_ball,0.497,0.476,L,R,0,0,2024
663330,"Jones, Jahmai",2024-07-12,FF,-0.2,4.18,11.0,swinging_strike,strikeout,S,,,,,,,,0.0,R,R,2,2,2024
663330,"Jones, Jahmai",2024-07-12,SL,0.71,2.44,6.0,foul_bunt,,S,,,,,,,,,R,R,2,1,2024
663330,"Jones, Jahmai",2024-07-12,FF,1.23,4.16,12.0,ball,,B,,,,,,,,,R,R,1,1,2024
663330,"Jones, Jahmai",2024-07-12,SL,2.23,1.57,14.0,ball,,B,,,,,,,,,R,R,0,1,2024
