pitcher,player_name,game_date,pitch_type,release_speed,release_spin_rate,pfx_x,pfx_z,plate_x,plate_z,zone,description,events,type,launch_speed,launch_angle,estimated_ba_using_speedangle,estimated_woba_using_speedangle,p_throws,stand,balls,strikes,bb_type,release_extension,spin_axis,season
665871,"Assad, Javier",2024-09-25,SI,90.8,1772.0,-1.2,0.65,-1.0000788640127785,3.1311712645979863,11.0,ball,walk,B,,,,0.689131,R,R,3,0,,6.5,209.0,2024
665871,"Assad, Javier",2024-09-25,SI,89.3,1769.0,-0.92,0.52,-0.7378049764824921,1.0403630858879886,13.0,ball,,B,,,,,R,R,2,0,,6.6,206.0,2024
665871,"Assad, Javier",2024-09-25,ST,80.4,2203.0,1.19,0.32,1.181905865966487,1.2155329191320012,14.0,ball,,B,,,,,R,R,1,0,,6.5,74.0,2024
665871,"Assad, Javier",2024-09-25,ST,81.4,2225.0,1.45,-0.28,2.2836435646530657,-1.0454230487755254,14.0,blocked_ball,,B,,,,,R,R,0,0,,6.8,64.0,2024
665871,"Assad, Javier",2024-09-25,SI,89.4,1658.0,-1.19,0.39,-0.28984139247017,1.9606397362509829,7.0,hit_into_play,single,X,70.4,-18.0,0.047,0.063,R,L,1,1,ground_ball,6.6,211.0,2024
665871,"Assad, Javier",2024-09-25,FC,89.0,1843.0,0.17,0.78,0.411550999912587,2.134094884573828,9.0,foul,,S,69.1,68.0,,,R,L,1,0,,6.9,192.0,2024
665871,"Assad, Javier",2024-09-25,FC,87.5,1920.0,0.12,0.72,-0.3031262998892108,1.430571610776828,13.0,ball,,B,,,,,R,L,0,0,,6.6,203.0,2024
665871,"Assad, Javier",2024-09-25,SI,89.5,1738.0,-1.16,0.76,-0.7332951183871781,2.685035397133304,4.0,hit_into_play,single,X,107.3,8.0,0.689,0.635,R,R,1,0,line_drive,6.6,209.0,2024
665871,"Assad, Javier",2024-09-25,FC,88.1,2013.0,0.41,0.79,1.404230149687736,1.8874901414569063,14.0,ball,,B,,,,,R,R,0,0,,6.5,187.0,2024
665871,"Assad, Javier",2024-09-25,SI,90.9,1895.0,-1.03,0.85,0.4771316510077317,2.1279611836142163,9.0,hit_into_play,field_out,X,95.0,-11.0,0.176,0.177,R,L,2,2,ground_ball,6.6,201.0,2024
665871,"Assad, Javier",2024-09-25,SI,90.8,1805.0,-1.0,0.56,0.4135519737099319,3.93682765951496,12.0,ball,,B,,,,,R,L,1,2,,6.5,200.0,2024
665871,"Assad, Javier",2024-09-25,FF,90.5,1910.0,-0.27,1.3,-0.1098232149319334,1.6993290950969968,8.0,foul,,S,91.5,52.0,,,R,L,1,1,,6.6,210.0,2024
665871,"Assad, Javier",2024-09-25,CH,80.8,1370.0,-1.04,0.38,-1.9074840273357885,1.9813093144223468,13.0,ball,,B,,,,,R,L,0,1,,6.5,229.0,2024
665871,"Assad, Javier",2024-09-25,CU,76.1,2267.0,1.03,-0.58,-0.4193679385633385,2.705742497400056,4.0,foul,,S,71.3,61.0,,,R,L,0,0,,6.4,54.0,2024
665871,"Assad, Javier",2024-09-25,SI,91.8,1851.0,-1.1,0.96,-0.5445041022840573,2.606790031806988,4.0,hit_into_play,force_out,X,86.3,7.0,0.463,0.433,R,R,0,2,ground_ball,6.7,205.0,2024
665871,"Assad, Javier",2024-09-25,SI,90.5,1807.0,-1.11,0.96,-0.9341704078929216,1.914415074723973,13.0,foul,,S,,,,,R,R,0,2,,6.6,209.0,2024
665871,"Assad, Javier",2024-09-25,SI,89.2,1745.0,-1.19,0.96,-0.6023885913902571,1.3236424313111277,13.0,swinging_strike,,S,,,,,R,R,0,1,,6.7,209.0,2024
665871,"Assad, Javier",2024-09-25,SI,88.5,1778.0,-1.11,0.86,-1.5135762716657566,1.42998405528692,13.0,swinging_strike,,S,,,,,R,R,0,0,,6.7,208.0,2024
665871,"Assad, Javier",2024-09-25,FC,87.8,1905.0,0.25,0.72,-1.7762471354947322,2.947511645665352,11.0,ball,walk,B,,,,0.689131,R,L,3,2,,6.5,184.0,2024
665871,"Assad, Javier",2024-09-25,CH,80.2,1375.0,-0.86,0.51,-1.5155070406554474,1.1968800863735187,13.0,ball,,B,,,,,R,L,2,2,,6.7,224.0,2024
665871,"Assad, Javier",2024-09-25,FC,86.7,2000.0,0.47,0.42,1.07082750435121,2.574511901707468,12.0,foul,,S,81.1,-6.0,,,R,L,2,1,,6.5,167.0,2024
665871,"Assad, Javier",2024-09-25,SI,90.2,1795.0,-1.19,0.61,0.8323127434247857,1.5514088705543223,14.0,ball,,B,,,,,R,L,1,1,,6.7,206.0,2024
665871,"Assad, Javier",2024-09-25,CU,76.5,2438.0,1.03,-0.91,0.0696344755744563,1.6763141831668662,8.0,foul,,S,63.8,-29.0,,,R,L,1,0,,6.6,42.0,2024
665871,"Assad, Javier",2024-09-25,CU,77.3,2409.0,1.21,-0.62,0.7080371440002782,1.149107222261998,14.0,ball,,B,,,,,R,L,0,0,,6.6,49.0,2024
665871,"Assad, Javier",2024-09-25,ST,78.7,2316.0,1.23,-0.15,0.2522917867766331,3.1347076057685617,2.0,hit_into_play,field_out,X,95.1,-4.0,0.321,0.311,R,R,1,2,ground_ball,6.6,64.0,2024
665871,"Assad, Javier",2024-09-25,FF,90.4,1955.0,-0.28,1.36,-0.5403428071520462,5.298265828379973,11.0,ball,,B,,,,,R,R,0,2,,6.3,206.0,2024
665871,"Assad, Javier",2024-09-25,SI,90.9,1829.0,-1.21,0.77,-0.028004587488307,3.0673174351076,2.0,foul,,S,,,,,R,R,0,1,,6.6,212.0,2024
665871,"Assad, Javier",2024-09-25,ST,77.7,2320.0,1.44,0.17,-0.0561537102630309,1.8693596804010133,8.0,foul,,S,65.2,29.0,,,R,R,0,0,,6.5,63.0,2024
665871,"Assad, Javier",2024-09-25,SI,91.1,1889.0,-1.1,0.72,0.2006387307791799,2.3474685002336866,5.0,hit_into_play,home_run,X,102.7,31.0,0.6255762711864409,1.2699322033898306,R,L,1,1,fly_ball,6.6,209.0,2024
665871,"Assad, Javier",2024-09-25,CU,75.0,2526.0,1.19,-0.96,-0.7775792115392757,1.9380019816420968,7.0,called_strike,,S,,,,,R,L,1,0,,6.4,44.0,2024
665871,"Assad, Javier",2024-09-25,CU,75.7,2533.0,1.27,-0.7,0.3908522968027442,1.4869157622628686,9.0,ball,,B,,,,,R,L,0,0,,6.4,45.0,2024
665871,"Assad, Javier",2024-09-25,FC,86.9,2011.0,0.16,1.08,0.4764582896244799,1.799827900157001,9.0,hit_into_play,field_out,X,103.6,11.0,0.921,0.912,R,L,0,1,line_drive,6.6,192.0,2024
665871,"Assad, Javier",2024-09-25,SI,88.3,1811.0,-1.26,0.65,-0.0526530741171031,2.803465495680017,2.0,called_strike,,S,,,,,R,L,0,0,,6.4,211.0,2024
665871,"Assad, Javier",2024-09-25,ST,78.0,2258.0,1.33,-0.11,1.038306302588305,2.5071524846592426,14.0,swinging_strike,strikeout,S,,,,0.0,R,R,1,2,,6.6,54.0,2024
665871,"Assad, Javier",2024-09-25,ST,81.1,2404.0,1.1,-0.11,1.822960862230587,-0.3685285066650849,14.0,ball,,B,,,,,R,R,0,2,,6.8,58.0,2024
665871,"Assad, Javier",2024-09-25,ST,80.6,2392.0,1.09,-0.02,1.104595823451988,1.1245244792467153,14.0,swinging_strike,,S,,,,,R,R,0,1,,6.6,55.0,2024
665871,"Assad, Javier",2024-09-25,SI,90.9,1871.0,-1.14,1.05,0.1703757119641991,1.7710722589482255,8.0,called_strike,,S,,,,,R,R,0,0,,6.7,206.0,2024
665871,"Assad, Javier",2024-09-25,SI,90.4,1936.0,-1.28,0.8,0.7302751708541844,2.1261485421832758,9.0,hit_into_play,field_out,X,88.7,0.0,0.313,0.32,R,L,2,1,ground_ball,6.7,212.0,2024
665871,"Assad, Javier",2024-09-25,CH,84.6,1340.0,-0.87,0.37,-1.1929428625200154,1.2486228866218978,13.0,ball,,B,,,,,R,L,1,1,,6.6,230.0,2024
665871,"Assad, Javier",2024-09-25,FC,88.1,2021.0,0.18,0.9,-0.3109625006656872,2.541888762439654,4.0,called_strike,,S,,,,,R,L,1,0,,6.5,192.0,2024
665871,"Assad, Javier",2024-09-25,SI,90.2,1710.0,-0.97,0.54,1.2119893336205017,1.342312817246729,14.0,ball,,B,,,,,R,L,0,0,,6.7,213.0,2024
665871,"Assad, Javier",2024-09-25,SI,92.0,1888.0,-0.88,0.84,0.3375172526136828,2.455340629459715,9.0,hit_into_play,home_run,X,104.8,25.0,0.8023770491803276,1.5759180327868858,R,R,3,2,fly_ball,6.7,204.0,2024
665871,"Assad, Javier",2024-09-25,ST,80.9,2417.0,1.41,-0.06,1.7514679998103762,0.3181291751727713,14.0,ball,,B,,,,,R,R,2,2,,6.8,58.0,2024
665871,"Assad, Javier",2024-09-25,SI,91.5,1958.0,-1.27,1.03,0.7823451751509884,2.2715755551039387,9.0,called_strike,,S,,,,,R,R,2,1,,6.7,203.0,2024
665871,"Assad, Javier",2024-09-25,SI,91.1,1909.0,-1.32,0.89,-1.6071159837848736,2.828129775695348,13.0,ball,,B,,,,,R,R,1,1,,6.7,205.0,2024
665871,"Assad, Javier",2024-09-25,SI,90.3,1866.0,-1.22,0.9,-1.2313114381096024,1.6372430812470895,13.0,foul,,S,82.1,-24.0,,,R,R,1,0,,6.7,206.0,2024
665871,"Assad, Javier",2024-09-25,SI,89.7,1626.0,-0.84,0.98,-0.4965379061052041,1.409151015839646,13.0,ball,,B,,,,,R,R,0,0,,6.6,206.0,2024
665871,"Assad, Javier",2024-09-25,CU,75.9,2448.0,1.28,-0.87,-0.6134916849208367,1.745356267400341,7.0,hit_into_play,field_out,X,62.0,-71.0,0.213,0.218,R,L,0,2,ground_ball,6.6,44.0,2024
665871,"Assad, Javier",2024-09-25,SI,91.3,2086.0,-1.36,0.85,-1.171145341303287,1.9707456407491928,13.0,foul,,S,77.2,7.0,,,R,L,0,1,,6.6,206.0,2024
665871,"Assad, Javier",2024-09-25,SI,91.1,2017.0,-1.15,0.9,-0.9148575340246076,2.2834394017522137,13.0,swinging_strike,,S,,,,,R,L,0,0,,6.5,211.0,2024
665871,"Assad, Javier",2024-09-25,FF,91.0,2063.0,-0.22,1.31,0.60080212243249,3.146977355739917,3.0,hit_into_play,field_out,X,91.9,-6.0,0.208,0.23,R,R,1,2,ground_ball,6.6,207.0,2024
665871,"Assad, Javier",2024-09-25,SI,92.4,1909.0,-1.1,0.64,0.7902064830934321,2.300662644550323,6.0,foul,,S,,,,,R,R,1,2,,6.6,205.0,2024
665871,"Assad, Javier",2024-09-25,SI,90.3,1831.0,-1.06,0.86,-1.422607199222553,2.188041624492324,13.0,swinging_strike,,S,,,,,R,R,1,1,,6.6,208.0,2024
665871,"Assad, Javier",2024-09-25,SI,88.8,1920.0,-0.99,1.14,0.2571270928055772,2.0717601784756874,8.0,foul,,S,90.0,49.0,,,R,R,1,0,,6.8,199.0,2024
665871,"Assad, Javier",2024-09-25,ST,81.4,2342.0,1.17,-0.2,1.4470629517927365,1.7012023341883435,14.0,ball,,B,,,,,R,R,0,0,,6.6,73.0,2024
665871,"Assad, Javier",2024-09-25,FC,86.9,1827.0,0.32,0.58,-0.0886863563119815,2.0853220800245227,5.0,hit_into_play,double,X,99.9,25.0,0.4653181818181817,0.8341818181818182,R,L,0,0,fly_ball,6.5,183.0,2024
665871,"Assad, Javier",2024-09-25,ST,79.6,2303.0,1.47,-0.09,0.2271090703336573,1.584200982396816,8.0,hit_into_play,field_out,X,58.0,-7.0,0.108,0.105,R,R,0,1,ground_ball,6.5,61.0,2024
665871,"Assad, Javier",2024-09-25,SI,91.0,1837.0,-1.03,0.67,0.07286338866298,2.1908991356868457,5.0,called_strike,,S,,,,,R,R,0,0,,6.5,209.0,2024
665871,"Assad, Javier",2024-09-25,SI,90.6,1873.0,-1.29,0.73,-0.3224440334517023,1.7196177266006627,7.0,hit_into_play,field_out,X,87.3,7.0,0.503,0.479,R,L,2,1,ground_ball,6.6,210.0,2024
665871,"Assad, Javier",2024-09-25,CU,74.0,2285.0,0.99,-0.74,-1.0046489142761097,3.2729117198741333,11.0,ball,,B,,,,,R,L,1,1,,6.4,52.0,2024
665871,"Assad, Javier",2024-09-25,FC,88.1,2044.0,0.48,0.94,0.5762899425204779,1.5473534453996305,14.0,foul,,S,82.5,-33.0,,,R,L,1,0,,6.5,193.0,2024
665871,"Assad, Javier",2024-09-25,SI,88.2,1879.0,-1.09,0.83,-0.4427311715350046,1.1685326195027452,13.0,ball,,B,,,,,R,L,0,0,,6.5,206.0,2024
665871,"Assad, Javier",2024-09-25,FF,91.7,1922.0,-0.36,1.28,-0.1781962366041516,3.752555235949615,11.0,swinging_strike,strikeout,S,,,,0.0,R,L,0,2,,6.5,210.0,2024
665871,"Assad, Javier",2024-09-25,SI,91.3,1819.0,-1.28,0.48,-0.3885995976245063,1.762289358594555,7.0,foul,,S,,,,,R,L,0,1,,6.5,209.0,2024
665871,"Assad, Javier",2024-09-25,FC,88.8,2080.0,0.17,1.1,0.0788370918212005,1.9386182007855368,8.0,called_strike,,S,,,,,R,L,0,0,,6.5,190.0,2024
665871,"Assad, Javier",2024-09-25,ST,80.0,2342.0,1.02,-0.28,-0.2272179830545654,1.9403761668675985,8.0,swinging_strike,strikeout,S,,,,0.0,R,R,2,2,,6.4,63.0,2024
665871,"Assad, Javier",2024-09-25,SI,92.2,1957.0,-1.16,0.99,0.5309776404476518,2.060849768289457,9.0,foul,,S,,,,,R,R,2,1,,6.7,207.0,2024
665871,"Assad, Javier",2024-09-25,SI,92.2,1983.0,-1.14,0.97,-0.0892647590465973,1.5163910928451494,13.0,called_strike,,S,,,,,R,R,2,0,,6.7,205.0,2024
665871,"Assad, Javier",2024-09-25,SI,92.4,1815.0,-0.83,1.09,0.3523082817681083,0.741073353428056,14.0,ball,,B,,,,,R,R,1,0,,6.8,205.0,2024
665871,"Assad, Javier",2024-09-25,SI,91.9,1742.0,-1.03,0.96,-0.523821526236626,1.456836472790453,13.0,ball,,B,,,,,R,R,0,0,,6.8,208.0,2024
665871,"Assad, Javier",2024-09-25,CU,75.9,2473.0,1.34,-0.65,-0.1067985117100547,2.1567050139960746,5.0,hit_into_play,double,X,96.4,15.0,0.789,0.759,R,L,0,1,line_drive,6.5,46.0,2024
665871,"Assad, Javier",2024-09-25,FC,88.6,1971.0,0.26,0.76,-0.6170714370880718,2.2669921068915304,4.0,called_strike,,S,,,,,R,L,0,0,,6.5,191.0,2024
665871,"Assad, Javier",2024-09-25,ST,79.3,2283.0,1.08,0.13,-0.0700150911397794,2.0211136954880127,8.0,hit_into_play,double,X,106.8,15.0,0.666,0.735,R,R,1,1,line_drive,6.5,67.0,2024
665871,"Assad, Javier",2024-09-25,SI,89.8,1718.0,-1.02,0.94,-0.6075654116131892,2.906104059152001,4.0,foul,,S,75.9,53.0,,,R,R,1,0,,6.7,204.0,2024
665871,"Assad, Javier",2024-09-25,SI,90.9,1890.0,-1.05,0.64,0.1608034836770926,1.056044490880981,14.0,ball,,B,,,,,R,R,0,0,,6.7,202.0,2024
665871,"Assad, Javier",2024-09-25,CU,75.2,2302.0,1.02,-0.94,-0.929783900961441,3.1953664275300664,11.0,ball,walk,B,,,,0.689131,R,L,3,2,,6.3,48.0,2024
665871,"Assad, Javier",2024-09-25,SI,91.8,1984.0,-1.08,0.69,0.7068767838464827,0.9290465206625502,14.0,ball,,B,,,,,R,L,2,2,,6.7,206.0,2024
665871,"Assad, Javier",2024-09-25,FC,88.1,1909.0,0.38,0.68,0.2483787881651041,3.434430866428702,12.0,foul,,S,60.1,47.0,,,R,L,2,1,,6.4,180.0,2024
665871,"Assad, Javier",2024-09-25,CU,76.5,2453.0,1.24,-0.66,-0.694318594732318,3.5032205502768448,11.0,ball,,B,,,,,R,L,1,1,,6.2,52.0,2024
665871,"Assad, Javier",2024-09-25,CH,84.5,1163.0,-0.47,0.28,-1.401458373240838,2.8884295556730737,11.0,ball,,B,,,,,R,L,0,1,,6.5,232.0,2024
