batter,player_name,game_date,pitch_type,plate_x,plate_z,zone,description,events,type,hc_x,hc_y,hit_distance_sc,launch_speed,launch_angle,bb_type,estimated_ba_using_speedangle,estimated_woba_using_speedangle,p_throws,stand,balls,strikes,season
666018,"Aranda, Jonathan",2024-09-29,CU,0.26,2.1,5.0,hit_into_play,field_out,X,152.12,158.29,7.0,78.4,-17.0,ground_ball,0.05,0.082,R,L,1,1,2024
666018,"Aranda, Jonathan",2024-09-29,CH,0.77,1.61,9.0,called_strike,,S,,,,,,,,,R,L,1,0,2024
666018,"Aranda, Jonathan",2024-09-29,CH,-1.08,2.2,13.0,ball,,B,,,,,,,,,R,L,0,0,2024
666018,"Aranda, Jonathan",2024-09-29,FC,0.67,2.36,6.0,hit_into_play,field_out,X,157.06,185.71,38.0,88.0,-1.0,ground_ball,0.268,0.222,R,L,0,1,2024
666018,"Aranda, Jonathan",2024-09-29,CU,-0.92,1.54,13.0,swinging_strike,,S,,,,,,,,,R,L,0,0,2024
666018,"Aranda, Jonathan",2024-09-29,CH,0.39,2.23,6.0,called_strike,strikeout,S,,,,,,,,0.0,R,L,2,2,2024
666018,"Aranda, Jonathan",2024-09-29,FF,-0.2,3.91,11.0,ball,,B,,,,,,,,,R,L,1,2,2024
666018,"Aranda, Jonathan",2024-09-29,FC,1.14,3.48,12.0,hit_by_pitch,hit_by_pitch,B,,,,,,,,0.720192,R,L,0,1,2024
666018,"Aranda, Jonathan",2024-09-29,FF,-0.51,4.14,11.0,ball,,B,,,,,,,,,R,L,0,2,2024
666018,"Aranda, Jonathan",2024-09-29,FF,-0.59,3.03,1.0,called_strike,,S,,,,,,,,,R,L,0,0,2024
666018,"Aranda, Jonathan",2024-09-29,FC,0.51,3.34,3.0,called_strike,,S,,,,,,,,,R,L,0,1,2024
666018,"Aranda, Jonathan",2024-09-29,FC,-0.93,2.88,11.0,called_strike,,S,,,,,,,,,R,L,0,0,2024
666018,"Aranda, Jonathan",2024-09-28,FC,0.45,2.29,6.0,hit_into_play,single,X,98.61,103.86,168.0,99.2,8.0,line_drive,0.608,0.547,R,L,0,1,2024
666018,"Aranda, Jonathan",2024-09-28,FC,0.48,2.8,3.0,foul_tip,,S,,,,,,,,,R,L,0,0,2024
666018,"Aranda, Jonathan",2024-09-28,FF,0.81,2.79,6.0,called_strike,strikeout,S,,,,,,,,0.0,R,L,0,2,2024
666018,"Aranda, Jonathan",2024-09-28,FS,-0.73,2.63,4.0,foul,,S,,,246.0,83.5,49.0,,,,R,L,0,1,2024
666018,"Aranda, Jonathan",2024-09-28,FF,-0.75,3.5,1.0,called_strike,,S,,,,,,,,,R,L,0,0,2024
666018,"Aranda, Jonathan",2024-09-28,FC,0.37,4.08,12.0,ball,walk,B,,,,,,,,0.689131,R,L,3,0,2024
666018,"Aranda, Jonathan",2024-09-28,FC,-0.02,3.86,11.0,ball,,B,,,,,,,,,R,L,2,0,2024
666018,"Aranda, Jonathan",2024-09-28,FF,-1.0,3.67,11.0,ball,,B,,,,,,,,,R,L,1,0,2024
666018,"Aranda, Jonathan",2024-09-28,KC,0.08,1.17,14.0,ball,,B,,,,,,,,,R,L,0,0,2024
666018,"Aranda, Jonathan",2024-09-28,FS,-0.93,1.76,13.0,hit_into_play,field_out,X,133.77,176.42,2.0,68.7,-44.0,ground_ball,0.205,0.166,R,L,1,1,2024
666018,"Aranda, Jonathan",2024-09-28,FS,-0.04,1.28,13.0,foul,,S,,,2.0,75.6,-32.0,,,,R,L,1,0,2024
666018,"Aranda, Jonathan",2024-09-28,SI,0.99,2.3,14.0,ball,,B,,,,,,,,,R,L,0,0,2024
666018,"Aranda, Jonathan",2024-09-28,ST,-0.62,1.92,7.0,hit_into_play,field_out,X,160.59,74.04,321.0,91.8,26.0,fly_ball,0.118,0.144,R,L,0,0,2024
666018,"Aranda, Jonathan",2024-09-27,FF,0.6,0.68,14.0,blocked_ball,walk,B,,,,,,,,0.689131,R,L,3,2,2024
666018,"Aranda, Jonathan",2024-09-27,FF,-0.43,4.03,11.0,swinging_strike,,S,,,,,,,,,R,L,3,1,2024
666018,"Aranda, Jonathan",2024-09-27,FF,-0.13,1.99,8.0,foul,,S,,,154.0,74.7,15.0,,,,R,L,3,0,2024
666018,"Aranda, Jonathan",2024-09-27,CU,1.01,1.41,14.0,ball,,B,,,,,,,,,R,L,2,0,2024
666018,"Aranda, Jonathan",2024-09-27,FF,-0.61,4.61,11.0,ball,,B,,,,,,,,,R,L,1,0,2024
666018,"Aranda, Jonathan",2024-09-27,FF,-1.49,3.08,11.0,ball,,B,,,,,,,,,R,L,0,0,2024
