batter,player_name,game_date,pitch_type,plate_x,plate_z,zone,description,events,type,hc_x,hc_y,hit_distance_sc,launch_speed,launch_angle,bb_type,estimated_ba_using_speedangle,estimated_woba_using_speedangle,p_throws,stand,balls,strikes,season
645277,"Albies, Ozzie",2024-10-02,ST,1.4,2.61,12.0,swinging_strike,strikeout,S,,,,,,,,0.0,R,R,0,2,2024
645277,"Albies, Ozzie",2024-10-02,CU,-0.53,3.46,11.0,foul,,S,,,137.0,61.9,61.0,,,,R,R,0,1,2024
645277,"Albies, Ozzie",2024-10-02,FF,0.21,3.02,2.0,foul,,S,,,133.0,80.1,9.0,,,,R,R,0,0,2024
645277,"Albies, Ozzie",2024-10-02,FS,0.07,2.86,2.0,hit_into_play,force_out,X,105.2,166.88,50.0,99.9,0.0,ground_ball,0.411,0.369,R,R,2,2,2024
645277,"Albies, Ozzie",2024-10-02,FF,0.67,3.01,3.0,foul,,S,,,187.0,75.4,64.0,,,,R,R,2,2,2024
645277,"Albies, Ozzie",2024-10-02,SL,0.87,2.74,12.0,foul,,S,,,169.0,70.9,19.0,,,,R,R,2,2,2024
645277,"Albies, Ozzie",2024-10-02,FF,0.36,1.52,9.0,foul,,S,,,193.0,70.8,55.0,,,,R,R,2,1,2024
645277,"Albies, Ozzie",2024-10-02,SL,1.46,2.71,12.0,ball,,B,,,,,,,,,R,R,1,1,2024
645277,"Albies, Ozzie",2024-10-02,SL,2.21,1.34,14.0,ball,,B,,,,,,,,,R,R,0,1,2024
645277,"Albies, Ozzie",2024-10-02,FF,-0.27,1.85,8.0,foul,,S,,,199.0,72.5,33.0,,,,R,R,0,0,2024
645277,"Albies, Ozzie",2024-10-02,ST,0.11,3.16,2.0,hit_into_play,field_out,X,74.96,84.45,310.0,86.2,37.0,fly_ball,0.026,0.035,R,R,2,2,2024
645277,"Albies, Ozzie",2024-10-02,ST,-0.87,2.87,11.0,foul,,S,,,5.0,63.1,-31.0,,,,R,R,2,2,2024
645277,"Albies, Ozzie",2024-10-02,SL,-0.65,2.23,4.0,called_strike,,S,,,,,,,,,R,R,2,1,2024
645277,"Albies, Ozzie",2024-10-02,FF,-0.7,4.89,11.0,ball,,B,,,,,,,,,R,R,1,1,2024
645277,"Albies, Ozzie",2024-10-02,ST,-0.48,2.42,4.0,foul_tip,,S,,,,,,,,,R,R,1,0,2024
645277,"Albies, Ozzie",2024-10-02,SL,1.33,1.57,14.0,ball,,B,,,,,,,,,R,R,0,0,2024
645277,"Albies, Ozzie",2024-10-02,CU,0.82,2.91,3.0,hit_into_play,field_out,X,152.83,171.45,28.0,89.5,-4.0,ground_ball,0.187,0.291,R,R,0,2,2024
645277,"Albies, Ozzie",2024-10-02,ST,-0.02,3.45,2.0,called_strike,,S,,,,,,,,,R,R,0,1,2024
645277,"Albies, Ozzie",2024-10-02,FC,-0.38,2.54,4.0,called_strike,,S,,,,,,,,,R,R,0,0,2024
645277,"Albies, Ozzie",2024-10-01,SI,0.67,1.81,9.0,swinging_strike,strikeout,S,,,,,,,,0.0,R,R,2,2,2024
645277,"Albies, Ozzie",2024-10-01,FF,0.04,2.11,5.0,called_strike,,S,,,,,,,,,R,R,2,1,2024
645277,"Albies, Ozzie",2024-10-01,FF,0.82,2.77,6.0,called_strike,,S,,,,,,,,,R,R,2,0,2024
645277,"Albies, Ozzie",2024-10-01,SI,1.01,1.39,14.0,ball,,B,,,,,,,,,R,R,1,0,2024
645277,"Albies, Ozzie",2024-10-01,ST,1.97,1.96,14.0,ball,,B,,,,,,,,,R,R,0,0,2024
645277,"Albies, Ozzie",2024-10-01,ST,0.83,2.8,3.0,swinging_strike,strikeout,S,,,,,,,,0.0,R,R,1,2,2024
645277,"Albies, Ozzie",2024-10-01,SI,1.72,0.93,14.0,ball,,B,,,,,,,,,R,R,0,2,2024
645277,"Albies, Ozzie",2024-10-01,FF,-0.18,3.57,11.0,foul,,S,,,214.0,76.1,50.0,,,,R,R,0,2,2024
645277,"Albies, Ozzie",2024-10-01,ST,-0.57,1.2,13.0,foul,,S,,,197.0,89.6,13.0,,,,R,R,0,1,2024
645277,"Albies, Ozzie",2024-10-01,FF,-0.55,3.1,1.0,called_strike,,S,,,,,,,,,R,R,0,0,2024
645277,"Albies, Ozzie",2024-10-01,FF,0.63,3.52,12.0,hit_into_play,single,X,171.21,88.09,205.0,96.9,13.0,line_drive,0.939,0.89,R,R,0,1,2024
645277,"Albies, Ozzie",2024-10-01,FF,-0.37,3.84,11.0,foul_tip,,S,,,,,,,,,R,R,0,0,2024
645277,"Albies, Ozzie",2024-10-01,ST,0.35,2.27,6.0,swinging_strike,strikeout,S,,,,,,,,0.0,R,R,1,2,2024
645277,"Albies, Ozzie",2024-10-01,SL,0.5,2.16,6.0,foul,,S,,,6.0,83.4,-21.0,,,,R,R,1,1,2024
645277,"Albies, Ozzie",2024-10-01,SI,1.93,1.89,14.0,ball,,B,,,,,,,,,R,R,0,1,2024
645277,"Albies, Ozzie",2024-10-01,FF,-0.27,3.35,2.0,foul,,S,,,199.0,78.1,19.0,,,,R,R,0,0,2024
645277,"Albies, Ozzie",2024-09-30,SI,-0.37,1.13,13.0,hit_into_play,field_out,X,133.82,202.11,9.0,102.9,-7.0,ground_ball,0.337,0.314,L,R,1,0,2024
645277,"Albies, Ozzie",2024-09-30,SI,1.07,2.18,14.0,ball,,B,,,,,,,,,L,R,0,0,2024
645277,"Albies, Ozzie",2024-09-30,FF,-0.73,3.27,11.0,ball,walk,B,,,,,,,,0.689131,R,R,3,0,2024
645277,"Albies, Ozzie",2024-09-30,SI,-1.21,2.35,11.0,ball,,B,,,,,,,,,R,R,2,0,2024
645277,"Albies, Ozzie",2024-09-30,SI,0.21,1.13,14.0,ball,,B,,,,,,,,,R,R,1,0,2024
645277,"Albies, Ozzie",2024-09-30,FC,1.35,1.68,14.0,ball,,B,,,,,,,,,R,R,0,0,2024
645277,"Albies, Ozzie",2024-09-30,SL,-0.35,2.36,4.0,hit_into_play,home_run,X,49.15,63.34,392.0,103.1,22.0,line_drive,0.5440555555555556,0.9262222222222224,R,R,1,2,2024
645277,"Albies, Ozzie",2024-09-30,FF,0.91,3.68,12.0,swinging_strike,strikeout,S,,,,,,,,0.0,L,R,0,2,2024
645277,"Albies, Ozzie",2024-09-30,CU,-0.03,0.76,13.0,foul,,S,,,142.0,66.4,64.0,,,,L,R,0,1,2024
645277,"Albies, Ozzie",2024-09-30,FF,-0.06,3.45,11.0,foul,,S,,,239.0,80.0,55.0,,,,R,R,1,2,2024
645277,"Albies, Ozzie",2024-09-30,CU,-0.75,0.96,13.0,foul,,S,,,6.0,86.3,-11.0,,,,L,R,0,0,2024
645277,"Albies, Ozzie",2024-09-30,FC,0.17,1.47,8.0,called_strike,,S,,,,,,,,,R,R,1,1,2024
645277,"Albies, Ozzie",2024-09-30,FC,1.75,1.43,14.0,ball,,B,,,,,,,,,R,R,0,1,2024
645277,"Albies, Ozzie",2024-09-30,FC,0.59,1.15,14.0,swinging_strike,,S,,,,,,,,,R,R,0,0,2024
645277,"Albies, Ozzie",2024-09-30,SI,0.31,2.68,6.0,hit_into_play,single,X,117.05,182.89,1.0,60.6,-62.0,ground_ball,0.237,0.284,R,R,0,1,2024
645277,"Albies, Ozzie",2024-09-30,FF,-0.34,2.19,4.0,hit_into_play,double,X,41.25,75.49,368.0,110.7,19.0,line_drive,0.8253846153846154,1.469076923076923,R,R,3,1,2024
645277,"Albies, Ozzie",2024-09-30,FF,0.38,2.44,6.0,foul,,S,,,228.0,78.0,43.0,,,,R,R,0,0,2024
645277,"Albies, Ozzie",2024-09-30,FF,1.06,1.63,14.0,ball,,B,,,,,,,,,R,R,2,1,2024
645277,"Albies, Ozzie",2024-09-30,FF,0.03,1.97,8.0,foul,,S,,,2.0,66.6,-40.0,,,,R,R,2,0,2024
645277,"Albies, Ozzie",2024-09-30,FF,0.16,3.37,12.0,ball,,B,,,,,,,,,R,R,1,0,2024
645277,"Albies, Ozzie",2024-09-30,FF,2.01,1.65,14.0,ball,,B,,,,,,,,,R,R,0,0,2024
645277,"Albies, Ozzie",2024-09-30,FC,1.18,1.97,14.0,ball,walk,B,,,,,,,,0.689131,R,R,3,2,2024
645277,"Albies, Ozzie",2024-09-30,FC,1.02,1.53,14.0,ball,,B,,,,,,,,,R,R,2,2,2024
645277,"Albies, Ozzie",2024-09-30,FC,0.52,1.66,9.0,swinging_strike,,S,,,,,,,,,R,R,2,1,2024
645277,"Albies, Ozzie",2024-09-30,SL,1.6,0.71,14.0,ball,,B,,,,,,,,,R,R,1,1,2024
645277,"Albies, Ozzie",2024-09-30,FF,0.65,2.09,6.0,hit_into_play,field_out,X,183.67,108.96,266.0,78.0,34.0,fly_ball,0.092,0.103,L,R,1,0,2024
645277,"Albies, Ozzie",2024-09-30,FF,-0.28,2.9,1.0,foul,,S,,,163.0,80.2,13.0,,,,R,R,1,0,2024
645277,"Albies, Ozzie",2024-09-30,SI,0.68,3.23,3.0,ball,,B,,,,,,,,,L,R,0,0,2024
645277,"Albies, Ozzie",2024-09-30,SL,1.23,1.48,14.0,ball,,B,,,,,,,,,R,R,0,0,2024
645277,"Albies, Ozzie",2024-09-30,FF,-0.44,2.08,4.0,hit_into_play,field_out,X,123.98,82.54,291.0,84.5,24.0,line_drive,0.216,0.195,R,R,1,1,2024
645277,"Albies, Ozzie",2024-09-30,FF,0.79,1.61,14.0,ball,,B,,,,,,,,,R,R,0,1,2024
645277,"Albies, Ozzie",2024-09-30,SI,0.15,2.52,5.0,called_strike,,S,,,,,,,,,R,R,0,0,2024
645277,"Albies, Ozzie",2024-09-29,CU,0.23,1.95,8.0,hit_into_play,force_out,X,101.87,168.19,4.0,93.5,-30.0,ground_ball,0.076,0.069,R,R,2,2,2024
645277,"Albies, Ozzie",2024-09-29,SI,-0.01,3.06,2.0,foul,,S,,,201.0,72.9,55.0,,,,R,R,2,2,2024
645277,"Albies, Ozzie",2024-09-29,SI,1.63,3.7,12.0,ball,,B,,,,,,,,,R,R,1,2,2024
645277,"Albies, Ozzie",2024-09-29,SL,0.63,3.46,12.0,foul,,S,,,265.0,88.8,17.0,,,,R,R,1,2,2024
645277,"Albies, Ozzie",2024-09-29,SI,0.32,2.89,3.0,called_strike,,S,,,,,,,,,R,R,1,1,2024
645277,"Albies, Ozzie",2024-09-29,SI,1.11,2.63,12.0,ball,,B,,,,,,,,,R,R,0,1,2024
645277,"Albies, Ozzie",2024-09-29,SL,0.56,1.94,9.0,called_strike,,S,,,,,,,,,R,R,0,0,2024
645277,"Albies, Ozzie",2024-09-29,SL,0.5,1.14,14.0,hit_into_play,field_out,X,99.45,164.55,3.0,74.6,-24.0,ground_ball,0.034,0.06,R,R,0,0,2024
645277,"Albies, Ozzie",2024-09-29,CH,1.2,1.98,14.0,hit_into_play,field_out,X,106.72,145.76,4.0,81.6,-26.0,ground_ball,0.026,0.078,L,R,1,2,2024
645277,"Albies, Ozzie",2024-09-29,FF,0.14,2.01,8.0,foul,,S,,,160.0,88.3,72.0,,,,L,R,1,1,2024
