pitcher,player_name,game_date,pitch_type,release_speed,release_spin_rate,pfx_x,pfx_z,plate_x,plate_z,zone,description,events,type,launch_speed,launch_angle,estimated_ba_using_speedangle,estimated_woba_using_speedangle,p_throws,stand,balls,strikes,bb_type,release_extension,spin_axis,season
671106,"Allen, Logan",2024-08-26,SI,90.4,2049.0,0.87,1.19,0.7193330630288044,3.8600355496682406,12.0,foul_tip,strikeout,S,,,,0.0,L,L,1,2,,6.4,158.0,2024
671106,"Allen, Logan",2024-08-26,SI,92.1,2016.0,0.97,1.22,1.413517119821973,2.250674630758604,14.0,ball,,B,,,,,L,L,0,2,,6.4,155.0,2024
671106,"Allen, Logan",2024-08-26,ST,78.7,2225.0,-1.18,0.31,-0.0640838063890996,2.1557885928829026,8.0,foul,,S,80.3,87.0,,,L,L,0,2,,6.3,293.0,2024
671106,"Allen, Logan",2024-08-26,SI,91.7,2118.0,1.1,1.11,0.2701073629020363,2.8316878855975727,5.0,foul,,S,78.2,53.0,,,L,L,0,1,,6.5,154.0,2024
671106,"Allen, Logan",2024-08-26,FC,84.0,2222.0,-0.4,0.21,0.322480662155556,2.074549298183193,9.0,foul,,S,97.4,-27.0,,,L,L,0,0,,6.4,228.0,2024
671106,"Allen, Logan",2024-08-26,ST,79.6,2346.0,-0.94,-0.09,0.0949090806898059,-0.2508613795122274,14.0,blocked_ball,walk,B,,,,0.689131,L,R,3,1,,6.5,302.0,2024
671106,"Allen, Logan",2024-08-26,FF,91.8,2290.0,0.23,1.48,0.3830972659029631,3.135861618647347,3.0,called_strike,,S,,,,,L,R,3,0,,6.5,157.0,2024
671106,"Allen, Logan",2024-08-26,CH,83.6,827.0,0.02,0.17,-1.0918560562684678,1.1891986964825638,13.0,ball,,B,,,,,L,R,2,0,,6.6,150.0,2024
671106,"Allen, Logan",2024-08-26,CH,83.4,935.0,0.22,0.5,0.4797620894836039,1.2974564076287227,14.0,ball,,B,,,,,L,R,1,0,,6.5,149.0,2024
671106,"Allen, Logan",2024-08-26,FF,92.3,2355.0,0.55,1.4,-1.5960791751122936,2.8673706903978307,11.0,ball,,B,,,,,L,R,0,0,,6.6,162.0,2024
671106,"Allen, Logan",2024-08-26,FC,84.3,2285.0,-0.65,0.09,-0.0498954110150924,2.6040801930534503,5.0,hit_into_play,field_out,X,86.5,21.0,0.482,0.481,L,R,0,0,line_drive,6.4,225.0,2024
671106,"Allen, Logan",2024-08-26,ST,79.0,2340.0,-1.13,0.18,0.8220629364585316,2.870191054737449,6.0,hit_into_play,home_run,X,104.2,33.0,0.6837575757575756,1.3687575757575758,L,R,3,2,fly_ball,6.4,292.0,2024
671106,"Allen, Logan",2024-08-26,ST,81.2,2349.0,-1.4,-0.11,-0.5302527510765409,0.8404511994948725,13.0,foul,,S,,,,,L,R,3,2,,6.5,294.0,2024
671106,"Allen, Logan",2024-08-26,ST,80.4,2309.0,-0.92,-0.15,-0.6865798802921197,0.8349382036623805,13.0,foul,,S,55.3,-32.0,,,L,R,3,1,,6.4,295.0,2024
671106,"Allen, Logan",2024-08-26,CH,83.1,1063.0,0.4,0.51,0.6583208863392132,0.9220028726627354,14.0,ball,,B,,,,,L,R,2,1,,6.7,140.0,2024
671106,"Allen, Logan",2024-08-26,ST,80.1,2402.0,-1.09,0.46,-0.8778036968306757,1.165395066805118,13.0,swinging_strike,,S,,,,,L,R,2,0,,6.4,299.0,2024
671106,"Allen, Logan",2024-08-26,FF,90.8,2097.0,0.71,1.33,-0.0081746478562336,3.961837572135868,11.0,ball,,B,,,,,L,R,1,0,,6.4,156.0,2024
671106,"Allen, Logan",2024-08-26,FC,85.7,2050.0,-0.1,0.6,1.3028552036468632,1.51165386944816,14.0,ball,,B,,,,,L,R,0,0,,6.4,183.0,2024
671106,"Allen, Logan",2024-08-26,CH,82.4,852.0,0.35,0.37,-0.1996059170290299,1.8333538397740288,8.0,hit_into_play,field_out,X,106.0,-5.0,0.392,0.325,L,L,0,1,ground_ball,6.4,129.0,2024
671106,"Allen, Logan",2024-08-26,SI,89.7,1984.0,1.08,1.04,0.5026677601037182,3.209152548583347,3.0,called_strike,,S,,,,,L,L,0,0,,6.4,148.0,2024
671106,"Allen, Logan",2024-08-26,CH,83.4,1037.0,0.25,0.13,0.8708371220509605,1.6347530900097138,14.0,hit_into_play,field_out,X,68.2,-39.0,0.118,0.131,L,R,1,0,ground_ball,6.3,146.0,2024
671106,"Allen, Logan",2024-08-26,CH,83.5,777.0,0.31,0.24,-0.3736423428226065,0.4887204639872138,13.0,blocked_ball,,B,,,,,L,R,0,0,,6.5,141.0,2024
671106,"Allen, Logan",2024-08-26,ST,77.8,2321.0,-1.26,0.37,0.1246739035230677,2.000309787544115,8.0,hit_into_play,sac_fly,X,94.6,32.0,0.15,0.268,L,R,2,1,fly_ball,6.3,299.0,2024
671106,"Allen, Logan",2024-08-26,CH,81.1,611.0,0.36,0.16,1.4110353515612344,2.2535498995291627,14.0,ball,,B,,,,,L,R,1,1,,6.6,148.0,2024
671106,"Allen, Logan",2024-08-26,ST,79.3,2285.0,-0.87,0.37,0.4693364871023033,2.171181039719322,9.0,called_strike,,S,,,,,L,R,1,0,,6.4,289.0,2024
671106,"Allen, Logan",2024-08-26,FF,91.1,2212.0,0.6,1.48,1.2924389178972755,3.3671211820032623,12.0,ball,,B,,,,,L,R,0,0,,6.4,156.0,2024
671106,"Allen, Logan",2024-08-26,SI,92.0,2056.0,0.73,1.32,-0.0051699498803395,2.583058793270843,5.0,hit_into_play,single,X,98.6,15.0,0.716,0.727,L,R,1,0,line_drive,6.5,160.0,2024
671106,"Allen, Logan",2024-08-26,ST,78.7,2155.0,-0.98,0.08,1.1605681773289127,1.4773291206920551,14.0,ball,,B,,,,,L,R,0,0,,6.5,291.0,2024
671106,"Allen, Logan",2024-08-26,SI,90.9,2007.0,1.04,1.06,0.7744549535472388,3.718840729656096,12.0,ball,walk,B,,,,0.689131,L,R,3,0,,6.5,159.0,2024
671106,"Allen, Logan",2024-08-26,FC,84.5,2055.0,-0.44,0.47,1.8704768204061009,2.986373176218803,12.0,ball,,B,,,,,L,R,2,0,,6.5,195.0,2024
671106,"Allen, Logan",2024-08-26,FF,90.8,2066.0,0.36,1.13,-0.4538637143382327,4.313657165589015,11.0,ball,,B,,,,,L,R,1,0,,6.4,161.0,2024
671106,"Allen, Logan",2024-08-26,FC,84.5,2105.0,-0.4,0.26,1.4301378585686235,2.849937688703492,12.0,ball,,B,,,,,L,R,0,0,,6.3,206.0,2024
671106,"Allen, Logan",2024-08-26,FC,85.9,2173.0,-0.31,0.67,-0.8066248613328059,2.107638864602847,7.0,hit_into_play,field_out,X,87.4,47.0,0.003,0.003,L,L,0,1,fly_ball,6.4,193.0,2024
671106,"Allen, Logan",2024-08-26,FF,90.9,2203.0,0.54,1.4,0.0838481883322856,3.034782938272492,2.0,called_strike,,S,,,,,L,L,0,0,,6.4,156.0,2024
