batter,player_name,game_date,pitch_type,plate_x,plate_z,zone,description,events,type,hc_x,hc_y,hit_distance_sc,launch_speed,launch_angle,bb_type,estimated_ba_using_speedangle,estimated_woba_using_speedangle,p_throws,stand,balls,strikes,season
665804,"Amaya, Miguel",2024-09-28,SL,0.6791642336245775,2.4364058573402296,6.0,hit_into_play,single,X,63.38,105.94,208.0,90.4,11.0,line_drive,0.65,0.591,R,R,2,2,2024
665804,"Amaya, Miguel",2024-09-28,FF,0.1086123839546225,4.360205819969499,12.0,ball,,B,,,,,,,,,R,R,1,2,2024
665804,"Amaya, Miguel",2024-09-28,CH,0.9530562357044456,0.5688641098698315,14.0,ball,,B,,,,,,,,,R,R,0,2,2024
665804,"Amaya, Miguel",2024-09-28,SL,0.6728058457979847,1.4630126504987588,14.0,foul,,S,,,1.0,68.0,-52.0,,,,R,R,0,2,2024
665804,"Amaya, Miguel",2024-09-28,CH,-0.2490236981154734,2.061643080851334,8.0,swinging_strike,,S,,,,,,,,,R,R,0,1,2024
665804,"Amaya, Miguel",2024-09-28,SI,-0.6218320674530957,2.135306192175288,7.0,foul,,S,,,2.0,81.0,-50.0,,,,R,R,0,0,2024
665804,"Amaya, Miguel",2024-09-28,FF,0.4339614349624408,3.0819287329117486,3.0,hit_into_play,field_out,X,143.98,57.19,354.0,101.2,18.0,line_drive,0.432,0.507,R,R,1,2,2024
665804,"Amaya, Miguel",2024-09-28,SL,0.8728477380662112,1.6855109552392342,14.0,called_strike,,S,,,,,,,,,R,R,1,1,2024
665804,"Amaya, Miguel",2024-09-28,FF,1.0577622931093726,0.9758944368186984,14.0,ball,,B,,,,,,,,,R,R,0,1,2024
665804,"Amaya, Miguel",2024-09-28,SI,-0.2986449565701279,2.717862674261408,4.0,foul,,S,,,4.0,68.7,-35.0,,,,R,R,0,0,2024
665804,"Amaya, Miguel",2024-09-28,SI,0.149363006887546,1.9421127776289293,8.0,called_strike,truncated_pa,S,,,,,,,,,R,R,0,0,2024
665804,"Amaya, Miguel",2024-09-28,FF,-0.8630402908191509,2.217784191227669,13.0,hit_into_play,field_out,X,170.03,172.22,137.0,68.7,61.0,popup,0.008,0.007,R,R,1,2,2024
665804,"Amaya, Miguel",2024-09-28,SL,-0.5690143616538784,3.159172635245292,1.0,foul,,S,,,216.0,73.8,21.0,,,,R,R,1,1,2024
665804,"Amaya, Miguel",2024-09-28,SL,-0.6550889050211453,2.6075403968335804,4.0,called_strike,,S,,,,,,,,,R,R,1,0,2024
665804,"Amaya, Miguel",2024-09-28,FF,-2.0880384346623124,3.013152837007035,11.0,ball,,B,,,,,,,,,R,R,0,0,2024
665804,"Amaya, Miguel",2024-09-28,SL,0.1469360463423755,3.0127786854098897,2.0,hit_into_play,field_out,X,140.2,209.49,37.0,83.3,79.0,popup,0.005,0.005,R,R,1,0,2024
665804,"Amaya, Miguel",2024-09-28,SI,-1.138997414445268,3.353696794646845,11.0,ball,,B,,,,,,,,,R,R,0,0,2024
665804,"Amaya, Miguel",2024-09-27,SI,0.3075980713290924,3.851452669293941,12.0,swinging_strike,strikeout,S,,,,,,,,0.0,R,R,0,2,2024
665804,"Amaya, Miguel",2024-09-27,FF,0.5481877533346606,3.8194956568102896,12.0,foul,,S,,,243.0,74.5,33.0,,,,R,R,0,2,2024
665804,"Amaya, Miguel",2024-09-27,CU,0.2604596070685481,3.0804626010941023,2.0,foul,,S,,,176.0,65.4,26.0,,,,R,R,0,1,2024
665804,"Amaya, Miguel",2024-09-27,SI,0.5607983564547492,2.118007171549973,9.0,called_strike,,S,,,,,,,,,R,R,0,0,2024
665804,"Amaya, Miguel",2024-09-27,SL,0.8414345385751884,2.6413642395251684,12.0,hit_into_play,sac_fly,X,179.63,120.71,237.0,86.8,40.0,fly_ball,0.011,0.015,R,R,1,2,2024
665804,"Amaya, Miguel",2024-09-27,FF,-0.4981801627257024,3.2943727116764565,1.0,foul,,S,,,149.0,69.8,67.0,,,,R,R,1,2,2024
665804,"Amaya, Miguel",2024-09-27,FF,0.0396597077853818,5.373464078687794,12.0,ball,,B,,,,,,,,,R,R,0,2,2024
665804,"Amaya, Miguel",2024-09-27,CH,-0.1554906646522679,2.259319225059001,5.0,foul,,S,,,,,,,,,R,R,0,2,2024
665804,"Amaya, Miguel",2024-09-27,FF,-0.5401797335001025,2.933896824554985,1.0,foul,,S,,,165.0,72.1,63.0,,,,R,R,0,1,2024
665804,"Amaya, Miguel",2024-09-27,FF,-0.0512128865775634,3.7169095818857913,11.0,foul,,S,,,238.0,74.3,53.0,,,,R,R,0,0,2024
