pitcher,player_name,game_date,pitch_type,release_speed,release_spin_rate,pfx_x,pfx_z,plate_x,plate_z,zone,description,events,type,launch_speed,launch_angle,estimated_ba_using_speedangle,estimated_woba_using_speedangle,p_throws,stand,balls,strikes,bb_type,release_extension,spin_axis,season
518585,"Cruz, Fernando",2024-09-29,FS,81.0,654.0,-0.31,-0.12,0.21,0.67,14.0,swinging_strike_blocked,strikeout,S,,,,0.0,R,R,2,2,,6.9,225.0,2024
518585,"Cruz, Fernando",2024-09-29,FS,80.8,653.0,-0.51,0.14,2.07,1.73,14.0,ball,,B,,,,,R,R,1,2,,6.9,227.0,2024
518585,"Cruz, Fernando",2024-09-29,FC,88.6,2326.0,0.02,1.14,0.77,1.34,14.0,foul,,S,59.1,15.0,,,R,R,1,1,,6.7,191.0,2024
518585,"Cruz, Fernando",2024-09-29,FS,80.6,700.0,-0.42,0.48,0.46,1.3,14.0,ball,,B,,,,,R,R,0,1,,6.9,221.0,2024
518585,"Cruz, Fernando",2024-09-29,FF,93.1,2229.0,-0.6,1.41,-0.44,2.31,4.0,called_strike,,S,,,,,R,R,0,0,,6.9,212.0,2024
518585,"Cruz, Fernando",2024-09-29,FC,89.5,2274.0,0.11,0.99,-0.38,5.01,11.0,ball,walk,B,,,,0.689131,R,L,3,1,,6.9,198.0,2024
518585,"Cruz, Fernando",2024-09-29,FF,94.2,2265.0,-0.22,1.5,0.89,3.81,12.0,ball,,B,,,,,R,L,2,1,,6.9,217.0,2024
518585,"Cruz, Fernando",2024-09-29,FC,87.5,2361.0,0.27,0.81,-1.01,4.6,11.0,ball,,B,,,,,R,L,1,1,,6.8,174.0,2024
518585,"Cruz, Fernando",2024-09-29,FS,81.9,885.0,-0.76,-0.02,1.29,-0.12,14.0,ball,,B,,,,,R,L,0,1,,6.8,222.0,2024
518585,"Cruz, Fernando",2024-09-29,FS,81.1,773.0,-0.29,0.28,0.45,2.8,3.0,called_strike,,S,,,,,R,L,0,0,,6.9,221.0,2024
518585,"Cruz, Fernando",2024-09-29,FF,93.7,2257.0,-0.63,1.31,0.13,3.37,12.0,hit_into_play,field_out,X,103.6,50.0,0.018,0.028,R,R,3,1,fly_ball,7.0,216.0,2024
518585,"Cruz, Fernando",2024-09-29,FC,88.5,2326.0,0.47,0.79,-0.17,4.81,11.0,ball,,B,,,,,R,R,2,1,,6.9,180.0,2024
518585,"Cruz, Fernando",2024-09-29,FF,93.7,2268.0,-0.28,1.44,0.52,3.82,12.0,ball,,B,,,,,R,R,1,1,,6.8,214.0,2024
518585,"Cruz, Fernando",2024-09-29,FF,94.6,2291.0,-0.53,1.43,0.02,3.22,2.0,foul,,S,86.5,57.0,,,R,R,1,0,,6.9,214.0,2024
518585,"Cruz, Fernando",2024-09-29,FC,88.5,2393.0,0.35,0.56,0.86,3.15,12.0,ball,,B,,,,,R,R,0,0,,6.8,191.0,2024
518585,"Cruz, Fernando",2024-09-29,FC,88.2,2363.0,0.07,0.71,-0.19,3.18,2.0,hit_into_play,force_out,X,91.6,-1.0,0.334,0.338,R,R,0,0,ground_ball,6.8,179.0,2024
518585,"Cruz, Fernando",2024-09-29,FS,80.4,807.0,-0.69,0.17,0.96,1.66,14.0,ball,walk,B,,,,0.689131,R,L,3,2,,7.0,223.0,2024
518585,"Cruz, Fernando",2024-09-29,FS,81.1,616.0,-0.4,0.2,-0.63,4.01,11.0,ball,,B,,,,,R,L,2,2,,6.8,218.0,2024
518585,"Cruz, Fernando",2024-09-29,FS,81.3,784.0,-0.39,0.25,-0.24,2.83,5.0,foul,,S,68.1,48.0,,,R,L,2,2,,6.8,226.0,2024
518585,"Cruz, Fernando",2024-09-29,FC,88.6,2517.0,0.12,0.71,0.44,1.87,9.0,foul,,S,62.0,38.0,,,R,L,2,1,,6.9,182.0,2024
518585,"Cruz, Fernando",2024-09-29,SI,94.8,2471.0,-1.2,1.44,1.2,3.47,12.0,ball,,B,,,,,R,L,1,1,,6.9,212.0,2024
518585,"Cruz, Fernando",2024-09-29,FS,80.9,988.0,-0.62,0.46,1.01,2.87,12.0,ball,,B,,,,,R,L,0,1,,6.8,214.0,2024
518585,"Cruz, Fernando",2024-09-29,FS,81.1,741.0,-0.59,0.05,0.14,1.65,8.0,swinging_strike,,S,,,,,R,L,0,0,,7.0,227.0,2024
518585,"Cruz, Fernando",2024-09-29,FS,81.8,687.0,-0.39,0.11,0.52,1.26,14.0,swinging_strike,strikeout,S,,,,0.0,R,R,1,2,,6.9,227.0,2024
518585,"Cruz, Fernando",2024-09-29,FS,81.8,721.0,-0.6,0.53,0.65,0.82,14.0,ball,,B,,,,,R,R,0,2,,6.8,225.0,2024
518585,"Cruz, Fernando",2024-09-29,FS,80.7,727.0,-0.39,0.41,0.98,1.8,14.0,swinging_strike,,S,,,,,R,R,0,1,,7.0,227.0,2024
518585,"Cruz, Fernando",2024-09-29,FF,93.9,2334.0,-0.83,1.43,0.61,2.46,6.0,called_strike,,S,,,,,R,R,0,0,,6.9,213.0,2024
518585,"Cruz, Fernando",2024-09-29,FF,95.1,2315.0,-0.61,1.36,-0.2,3.4,2.0,hit_into_play,field_out,X,106.9,1.0,0.526,0.481,R,R,0,0,ground_ball,6.8,213.0,2024
518585,"Cruz, Fernando",2024-09-22,FF,94.7,2185.0,-0.51,1.25,-0.21,3.09,5.0,hit_into_play,field_out,X,69.6,-52.0,0.253,0.29,R,L,2,2,ground_ball,6.8,210.0,2024
518585,"Cruz, Fernando",2024-09-22,FS,81.5,740.0,-0.32,-0.29,0.77,1.52,14.0,ball,,B,,,,,R,L,1,2,,6.8,247.0,2024
518585,"Cruz, Fernando",2024-09-22,FS,81.5,858.0,0.02,-0.43,0.36,1.2,14.0,swinging_strike,,S,,,,,R,L,1,1,,6.8,254.0,2024
518585,"Cruz, Fernando",2024-09-22,FS,81.0,847.0,-0.04,-0.31,-0.29,1.29,13.0,ball,,B,,,,,R,L,0,1,,6.8,248.0,2024
518585,"Cruz, Fernando",2024-09-22,FF,94.7,2209.0,-0.24,1.3,0.4,3.18,6.0,called_strike,,S,,,,,R,L,0,0,,6.7,216.0,2024
518585,"Cruz, Fernando",2024-09-22,FS,81.1,893.0,-0.08,-0.1,1.58,0.93,14.0,swinging_strike,strikeout,S,,,,0.0,R,R,0,2,,6.9,235.0,2024
518585,"Cruz, Fernando",2024-09-22,FS,80.9,845.0,-0.09,-0.28,0.14,2.67,5.0,foul,,S,90.3,39.0,,,R,R,0,1,,6.7,266.0,2024
518585,"Cruz, Fernando",2024-09-22,FC,89.6,2346.0,0.4,0.41,-0.32,2.27,4.0,foul,,S,81.6,60.0,,,R,R,0,0,,6.8,177.0,2024
518585,"Cruz, Fernando",2024-09-22,FS,81.7,799.0,-0.12,-0.48,0.95,1.01,14.0,swinging_strike,strikeout,S,,,,0.0,R,R,2,2,,6.9,249.0,2024
518585,"Cruz, Fernando",2024-09-22,FS,81.5,572.0,0.3,1.09,0.95,2.5,12.0,foul,,S,59.0,-8.0,,,R,R,2,1,,6.8,228.0,2024
518585,"Cruz, Fernando",2024-09-22,FC,90.0,2450.0,0.25,0.71,-0.56,2.92,1.0,called_strike,,S,,,,,R,R,2,0,,6.7,181.0,2024
