batter,player_name,game_date,pitch_type,plate_x,plate_z,zone,description,events,type,hc_x,hc_y,hit_distance_sc,launch_speed,launch_angle,bb_type,estimated_ba_using_speedangle,estimated_woba_using_speedangle,p_throws,stand,balls,strikes,season
571448,"Arenado, Nolan",2024-09-27,CU,-0.39,1.99,7.0,hit_into_play,double,X,41.0,109.0,306.0,107.3,16.0,line_drive,0.626,0.745,R,R,0,0,2024
571448,"Arenado, Nolan",2024-09-27,CU,-0.26,2.17,8.0,called_strike,strikeout,S,,,,,,,,0.0,R,R,3,2,2024
571448,"Arenado, Nolan",2024-09-27,SI,-0.25,1.56,13.0,ball,,B,,,,,,,,,R,R,2,2,2024
571448,"Arenado, Nolan",2024-09-27,CU,0.46,2.31,6.0,called_strike,,S,,,,,,,,,R,R,2,1,2024
571448,"Arenado, Nolan",2024-09-27,SI,-1.93,2.48,13.0,ball,,B,,,,,,,,,R,R,1,1,2024
571448,"Arenado, Nolan",2024-09-27,SL,0.91,0.99,14.0,ball,,B,,,,,,,,,R,R,0,1,2024
571448,"Arenado, Nolan",2024-09-27,SI,0.69,3.03,3.0,called_strike,,S,,,,,,,,,R,R,0,0,2024
571448,"Arenado, Nolan",2024-09-27,FC,0.46,2.78,6.0,hit_into_play,single,X,140.05,101.3,130.0,102.0,6.0,ground_ball,0.655,0.601,R,R,0,1,2024
571448,"Arenado, Nolan",2024-09-27,SI,0.81,2.06,9.0,called_strike,,S,,,,,,,,,R,R,0,0,2024
571448,"Arenado, Nolan",2024-09-27,CU,-0.74,1.28,13.0,hit_into_play,single,X,54.33,131.44,234.0,70.5,41.0,fly_ball,0.361,0.361,R,R,0,2,2024
571448,"Arenado, Nolan",2024-09-27,SI,-1.07,2.42,13.0,foul,,S,,,4.0,96.1,-31.0,,,,R,R,0,1,2024
571448,"Arenado, Nolan",2024-09-27,CU,0.75,2.06,9.0,called_strike,,S,,,,,,,,,R,R,0,0,2024
571448,"Arenado, Nolan",2024-09-27,SL,-0.46,2.76,4.0,hit_into_play,field_out,X,71.04,147.93,6.0,87.4,-23.0,ground_ball,0.063,0.048,R,R,1,0,2024
571448,"Arenado, Nolan",2024-09-27,FF,-1.25,3.02,11.0,ball,,B,,,,,,,,,R,R,0,0,2024
571448,"Arenado, Nolan",2024-09-25,FF,-0.34,2.0,7.0,hit_into_play,field_out,X,104.06,40.11,396.0,96.7,30.0,fly_ball,0.2845555555555555,0.5333888888888889,L,R,0,1,2024
571448,"Arenado, Nolan",2024-09-25,FF,-1.03,1.39,13.0,foul,,S,,,,,,,,,L,R,0,0,2024
571448,"Arenado, Nolan",2024-09-25,CH,0.34,1.07,14.0,hit_into_play,single,X,80.06,119.1,13.0,99.8,-5.0,ground_ball,0.271,0.283,L,R,1,1,2024
571448,"Arenado, Nolan",2024-09-25,FF,-1.15,2.85,11.0,ball,,B,,,,,,,,,L,R,0,1,2024
571448,"Arenado, Nolan",2024-09-25,KC,0.54,2.04,9.0,swinging_strike,,S,,,,,,,,,L,R,0,0,2024
571448,"Arenado, Nolan",2024-09-25,KC,0.2,1.9,8.0,hit_into_play,field_out,X,90.34,163.5,128.0,84.9,9.0,ground_ball,0.487,0.438,L,R,2,2,2024
571448,"Arenado, Nolan",2024-09-25,KC,0.07,0.59,14.0,ball,,B,,,,,,,,,L,R,1,2,2024
571448,"Arenado, Nolan",2024-09-25,FF,0.43,2.29,6.0,foul,,S,,,210.0,76.8,58.0,,,,L,R,1,1,2024
571448,"Arenado, Nolan",2024-09-25,FF,0.09,2.28,5.0,foul,,S,,,163.0,93.7,7.0,,,,L,R,1,0,2024
571448,"Arenado, Nolan",2024-09-25,KC,-0.54,1.12,13.0,ball,,B,,,,,,,,,L,R,0,0,2024
571448,"Arenado, Nolan",2024-09-25,SI,-0.16,2.53,5.0,hit_into_play,field_out,X,98.84,168.19,12.0,97.7,-12.0,ground_ball,0.247,0.204,R,R,0,0,2024
571448,"Arenado, Nolan",2024-09-24,CH,0.63,2.4,6.0,hit_into_play,field_out,X,151.73,43.82,388.0,96.3,29.0,fly_ball,0.2692142857142857,0.5046428571428572,R,R,0,2,2024
571448,"Arenado, Nolan",2024-09-24,CH,0.42,2.83,6.0,swinging_strike,,S,,,,,,,,,R,R,0,1,2024
571448,"Arenado, Nolan",2024-09-24,FF,0.54,3.34,3.0,foul,,S,,,,,,,,,R,R,0,0,2024
571448,"Arenado, Nolan",2024-09-24,ST,1.18,-0.1,14.0,swinging_strike_blocked,strikeout,S,,,,,,,,0.0,R,R,0,2,2024
