batter,player_name,game_date,pitch_type,plate_x,plate_z,zone,description,events,type,hc_x,hc_y,hit_distance_sc,launch_speed,launch_angle,bb_type,estimated_ba_using_speedangle,estimated_woba_using_speedangle,p_throws,stand,balls,strikes,season
656413,"Fairchild, Stuart",2024-08-23,SL,-0.84,2.24,13.0,hit_into_play,sac_bunt,X,123.02,193.74,1.0,41.4,-64.0,ground_ball,0.263,,L,R,0,0,2024
656413,"Fairchild, Stuart",2024-08-23,FF,0.51,3.94,12.0,swinging_strike,strikeout,S,,,,,,,,0.0,L,R,1,2,2024
656413,"Fairchild, Stuart",2024-08-23,SL,0.22,2.21,5.0,foul,,S,,,,,,,,,L,R,1,1,2024
656413,"Fairchild, Stuart",2024-08-23,SL,-0.75,-0.18,13.0,ball,,B,,,,,,,,,L,R,0,1,2024
656413,"Fairchild, Stuart",2024-08-23,FF,-0.5,1.57,7.0,called_strike,strikeout,S,,,,,,,,0.0,L,R,3,2,2024
656413,"Fairchild, Stuart",2024-08-23,SL,1.26,1.8,14.0,ball,,B,,,,,,,,,L,R,2,2,2024
656413,"Fairchild, Stuart",2024-08-23,SL,-0.35,2.49,4.0,foul,,S,,,,,,,,,L,R,0,0,2024
656413,"Fairchild, Stuart",2024-08-23,SI,1.65,2.65,12.0,ball,,B,,,,,,,,,L,R,1,2,2024
656413,"Fairchild, Stuart",2024-08-23,SI,2.0,2.86,12.0,ball,,B,,,,,,,,,L,R,0,2,2024
656413,"Fairchild, Stuart",2024-08-23,SL,0.21,2.47,5.0,called_strike,,S,,,,,,,,,L,R,0,1,2024
656413,"Fairchild, Stuart",2024-08-23,SL,0.49,3.01,3.0,called_strike,,S,,,,,,,,,L,R,0,0,2024
656413,"Fairchild, Stuart",2024-08-23,SL,0.86,1.95,14.0,swinging_strike,strikeout,S,,,,,,,,0.0,R,R,0,2,2024
656413,"Fairchild, Stuart",2024-08-23,SL,-0.61,2.07,4.0,called_strike,,S,,,,,,,,,R,R,0,1,2024
656413,"Fairchild, Stuart",2024-08-23,SL,0.78,1.71,9.0,foul_tip,,S,,,,,,,,,R,R,0,0,2024
656413,"Fairchild, Stuart",2024-08-20,SI,0.3,2.91,3.0,hit_into_play,single,X,118.22,87.65,40.0,98.2,-2.0,ground_ball,0.411,0.428,R,R,0,1,2024
656413,"Fairchild, Stuart",2024-08-20,SI,0.79,2.27,6.0,called_strike,,S,,,,,,,,,R,R,0,0,2024
656413,"Fairchild, Stuart",2024-08-18,SL,-0.08,1.8,8.0,swinging_strike,strikeout,S,,,,,,,,0.0,R,R,1,2,2024
656413,"Fairchild, Stuart",2024-08-18,SL,0.46,1.67,9.0,swinging_strike,,S,,,,,,,,,R,R,1,1,2024
656413,"Fairchild, Stuart",2024-08-18,SI,-1.06,2.2,13.0,ball,,B,,,,,,,,,R,R,0,1,2024
656413,"Fairchild, Stuart",2024-08-18,SI,-0.65,2.51,4.0,called_strike,,S,,,,,,,,,R,R,0,0,2024
656413,"Fairchild, Stuart",2024-08-18,FF,-0.26,3.68,11.0,swinging_strike,strikeout,S,,,,,,,,0.0,L,R,2,2,2024
656413,"Fairchild, Stuart",2024-08-18,SL,-1.2,0.85,13.0,ball,,B,,,,,,,,,L,R,1,2,2024
656413,"Fairchild, Stuart",2024-08-18,FS,0.35,1.97,9.0,swinging_strike,,S,,,,,,,,,L,R,1,1,2024
656413,"Fairchild, Stuart",2024-08-18,FS,1.69,1.4,14.0,ball,,B,,,,,,,,,L,R,0,1,2024
656413,"Fairchild, Stuart",2024-08-18,CU,0.0,2.12,5.0,called_strike,,S,,,,,,,,,L,R,0,0,2024
656413,"Fairchild, Stuart",2024-08-17,CH,0.16,2.4,5.0,swinging_strike,strikeout,S,,,,,,,,0.0,R,R,1,2,2024
656413,"Fairchild, Stuart",2024-08-17,SI,0.31,2.28,6.0,foul,,S,,,3.0,69.8,-34.0,,,,R,R,1,1,2024
656413,"Fairchild, Stuart",2024-08-17,CH,0.78,2.58,6.0,called_strike,,S,,,,,,,,,R,R,1,0,2024
656413,"Fairchild, Stuart",2024-08-17,FF,-0.04,1.0,13.0,ball,,B,,,,,,,,,R,R,0,0,2024
656413,"Fairchild, Stuart",2024-08-17,SL,0.03,2.87,2.0,hit_into_play,field_out,X,96.86,74.82,317.0,100.2,46.0,fly_ball,0.026,0.045,R,R,1,0,2024
656413,"Fairchild, Stuart",2024-08-17,SL,1.13,1.49,14.0,ball,,B,,,,,,,,,R,R,0,0,2024
656413,"Fairchild, Stuart",2024-08-11,CH,1.59,3.55,12.0,ball,walk,B,,,,,,,,0.689131,L,R,3,2,2024
656413,"Fairchild, Stuart",2024-08-11,SL,-1.39,0.8,13.0,blocked_ball,,B,,,,,,,,,L,R,2,2,2024
656413,"Fairchild, Stuart",2024-08-11,CH,1.02,0.8,14.0,ball,,B,,,,,,,,,L,R,1,2,2024
656413,"Fairchild, Stuart",2024-08-11,FF,-0.28,3.47,11.0,foul_bunt,,S,,,,,,,,,L,R,1,1,2024
656413,"Fairchild, Stuart",2024-08-11,CH,0.52,3.0,3.0,foul,,S,,,177.0,65.0,55.0,,,,L,R,1,0,2024
656413,"Fairchild, Stuart",2024-08-11,CU,0.35,0.1,14.0,ball,,B,,,,,,,,,L,R,0,0,2024
656413,"Fairchild, Stuart",2024-08-11,SL,0.26,0.56,14.0,swinging_strike_blocked,strikeout,S,,,,,,,,0.0,L,R,1,2,2024
656413,"Fairchild, Stuart",2024-08-11,CH,0.03,1.75,8.0,called_strike,,S,,,,,,,,,L,R,1,1,2024
656413,"Fairchild, Stuart",2024-08-11,CH,0.02,3.07,2.0,called_strike,,S,,,,,,,,,L,R,1,0,2024
656413,"Fairchild, Stuart",2024-08-11,CU,1.33,2.09,14.0,ball,,B,,,,,,,,,L,R,0,0,2024
656413,"Fairchild, Stuart",2024-08-11,SL,0.58,2.55,6.0,hit_into_play,field_out,X,108.48,162.81,110.0,71.5,66.0,popup,0.003,0.002,R,R,0,0,2024
656413,"Fairchild, Stuart",2024-08-11,FF,0.63,2.65,6.0,hit_into_play,field_out,X,82.6,69.67,337.0,90.3,35.0,fly_ball,0.008,0.007,R,R,0,0,2024
656413,"Fairchild, Stuart",2024-08-09,CU,-0.16,3.23,2.0,called_strike,strikeout,S,,,,,,,,0.0,R,R,1,2,2024
