pitcher,player_name,game_date,pitch_type,release_speed,release_spin_rate,pfx_x,pfx_z,plate_x,plate_z,zone,description,events,type,launch_speed,launch_angle,estimated_ba_using_speedangle,estimated_woba_using_speedangle,p_throws,stand,balls,strikes,bb_type,release_extension,spin_axis,season
621237,"Alvarado, José",2024-10-08,SI,99.5,2130.0,1.0,1.18,-0.55,4.03,11.0,ball,walk,B,,,,0.689131,L,R,3,0,,6.8,156.0,2024
621237,"Alvarado, José",2024-10-08,SI,99.6,2138.0,0.94,1.03,-0.14,3.73,11.0,ball,,B,,,,,L,R,2,0,,7.0,154.0,2024
621237,"Alvarado, José",2024-10-08,SI,99.2,2071.0,0.74,1.32,-0.25,0.89,13.0,blocked_ball,,B,,,,,L,R,1,0,,7.0,156.0,2024
621237,"Alvarado, José",2024-10-08,SI,100.2,2092.0,1.13,1.07,-1.33,1.73,13.0,ball,,B,,,,,L,R,0,0,,7.2,150.0,2024
621237,"Alvarado, José",2024-10-08,SI,99.7,2180.0,0.87,1.4,-0.9,1.64,13.0,ball,walk,B,,,,0.689131,L,L,3,2,,7.1,155.0,2024
621237,"Alvarado, José",2024-10-08,FC,92.9,2240.0,-0.17,0.4,-1.5,2.48,13.0,ball,,B,,,,,L,L,2,2,,7.0,169.0,2024
621237,"Alvarado, José",2024-10-08,SI,99.2,2052.0,0.89,1.11,0.49,2.54,6.0,called_strike,,S,,,,,L,L,2,1,,7.0,149.0,2024
621237,"Alvarado, José",2024-10-08,SI,99.1,2023.0,1.19,0.99,0.35,1.43,14.0,swinging_strike,,S,,,,,L,L,2,0,,7.0,153.0,2024
621237,"Alvarado, José",2024-10-08,SI,97.7,2159.0,1.05,1.34,0.31,0.94,14.0,blocked_ball,,B,,,,,L,L,1,0,,6.9,150.0,2024
621237,"Alvarado, José",2024-10-08,SI,98.4,1986.0,1.09,1.13,1.34,1.53,14.0,ball,,B,,,,,L,L,0,0,,6.8,148.0,2024
621237,"Alvarado, José",2024-10-08,SI,99.3,2088.0,0.96,1.22,-0.01,3.1,2.0,hit_into_play,single,X,99.4,1.0,0.482,0.448,L,R,3,1,line_drive,7.0,156.0,2024
621237,"Alvarado, José",2024-10-08,FC,93.5,2218.0,-0.04,0.23,-1.41,1.6,13.0,ball,,B,,,,,L,R,2,1,,6.9,170.0,2024
621237,"Alvarado, José",2024-10-08,SI,100.0,2149.0,0.97,1.28,-1.3,2.2,13.0,ball,,B,,,,,L,R,1,1,,6.9,149.0,2024
621237,"Alvarado, José",2024-10-08,SI,98.4,2094.0,1.02,1.35,-0.56,2.51,4.0,foul,,S,,,,,L,R,1,0,,6.9,158.0,2024
621237,"Alvarado, José",2024-10-08,SI,100.8,2187.0,1.14,1.32,-0.94,1.5,13.0,ball,,B,,,,,L,R,0,0,,7.0,156.0,2024
621237,"Alvarado, José",2024-10-08,SI,100.2,2095.0,0.99,1.29,-0.19,2.45,5.0,hit_into_play,field_out,X,79.4,73.0,0.001,0.0,L,R,1,0,popup,6.9,151.0,2024
621237,"Alvarado, José",2024-10-08,SI,100.3,2222.0,1.12,1.2,-0.77,0.57,13.0,ball,,B,,,,,L,R,0,0,,7.0,153.0,2024
621237,"Alvarado, José",2024-10-08,SI,99.8,2171.0,1.16,0.96,-0.2,3.24,2.0,swinging_strike,strikeout,S,,,,0.0,L,R,2,2,,6.8,156.0,2024
621237,"Alvarado, José",2024-10-08,FC,94.9,2228.0,-0.03,0.28,-1.91,0.55,13.0,ball,,B,,,,,L,R,1,2,,7.0,162.0,2024
621237,"Alvarado, José",2024-10-08,FC,94.8,2170.0,0.06,0.21,-2.17,1.25,13.0,ball,,B,,,,,L,R,0,2,,6.7,166.0,2024
